Phrase,IsHateSpeech
රට හදන්න කලින් මිනිසුන් රවටන ප්රචාරක දැන්විම් වලින් මුදල් හම්බ කරන එක නවත්වා සමාජයට සේවයක් කරන්න,YES
ජයසූරිය ආවෙ කෝ රට හැදුවද හැදුවද නෑ නෙ නෑ නෙ ඌ ලමයි හැදුව,YES
ආ එතකොට අපිටත් ඇඩ් එකක ඉන්න පුළුවන් වෙයි නේ,YES
පොන්නයො රට පලනය කරනකොට ඔහොම තමාජිවිතේ අසාවෙන් බලපු එකම දේ ක්රිකට් එකත් නැති කරා මේ පොන්නයො,YES
ඔය කාරනය හරිය විග්රහ කරන්න ඩුප්ලිකේට් මහමෙව්නාවේ ඩුප්ලිකේට් කල්යාණ මිතුරන්ට පුලුවන් නම් දිව්ය ලෝක කරයි ද,YES
ස්ට්රයික් කරන ඔක්කොටම ගහන්න ඕන දෝස්තරලාත් ඇතුලු,YES
ගිය ආන්ඩුව කාලෙ ඔහොම නැටුවේ නෑමුන්ගෙ කොන්ද පන නෑ,YES
ඉතිං බං උබලා පිස්සු නටලා ඊට වඩා පඩි ගන්නෙ ඕක මොකක්,YES
කල්ලතෝනි පකෙක්,YES
අැත්තටම හරිම සතුටුයිඑ් මනුස්සකමටඑ් වගේම අරාබිය ගිහින්එන අපේ මුස්ලිමි කාන්තාවන් මුන වහගෙන බිල්ල වගේ එනකොට මේ නෝනා හරිම සුන්දර විදියට අැවිත් ඉන්න,YES
මේ කැරිවේසිග පුතාල ඉන්නකල් රටට කෙලවෙන එක අහන්න දෙයක්ද බන් කාලකන්නි හැත්ත බල්ලො රටේ ලොක්කො වෙනකොට රට බල්ලට යන එක අහන්න දෙයක්ද,YES
තොපි වගේ නාහෙන් අඩන කාලකන්නි පොන්නයො නිසා තමයි අපේ සංගීතය අද කණ කොකා හඩලා තියෙන්න ලැජ්ජයි යකෝ තෝ වගේ එකෙක් ආයෙ මුණ ගැහුනා නම් ඌත් තෝ වගේම අඩයිනෙ දවසක,YES
අපොයි ජනාධිපති නෙද හුත්තෝ උබ උබ හොඳ නගරසභා සුද්ද කරන්නහිකුණ්ඨික සක්කිලියා,YES
මොනව උනත් පොලිසියෙ ඉන්නෙ බල්ලො,YES
තෝ වගෙ එකෙක් අනේ මන්ද යකෝ වැදගත් දෙයක් කරපිය ගොන් වස්සෙක් ඉදකින් හුත්තො,YES
ඇයි යකෝ ලංකාවේ පොලිසිය නිරායුධ මිනිසුන් ගහන්නේ එලවා එලවා,YES
පොලිස්සිය තාම කැද හැලි වගේ තරැන කොල්ලොන්ට ජීවිතෙන් වන්දි ගෙවන්න වෙන්නෙ නාකි පප්පල බුලත්විටක් කාගෙන අඩි දහයක දුවා ගන්න බැරි නිසා,YES
තුවක්කු පුහුනුව දෙන්නෙ එකේ විතරයි ඉලක්ක අරන් වෙඩි තියන් කී දෙනාද දක්ෂ නාකි පප්පල ටික ගහල පන්නන්න ඕන ජරාව කකා ඉන්නන් වාලේ ඉන්නවටඅනිත් එක සාමාන් මිනිස්සු ඉන්න තත්වයකදි මේ විදියට වෙඩි තැබීම අනුමත කරන්න බැ,YES
පාතාල කාරයන් මනුස්සකම නැනේමුන් බයි වලට නගිනකන් ඉවස තිබුනේනැත්තන් තත්වය බලල ගෙනන්න තිබුනේ කොහේ ලොක්කො දෙන අණ නේ අපරාදෙ වටින ජීවිතයක,YES
ගිහින් ඔය එකෙක්ටවත් ආපහු මේ ලෝකේ දකින්න ඉඩ තියන් එපා මුන්ව හිරේ යවන්නනම් එපා මරලා දානවා මිසක,YES
අනේ මෙහෙම කුහක මිනිස්සු,YES
මෙතන හොරු හොඳ තුවක්කුවලින් වෙඩි තියනවා පොලිසිය අත වන වන ඇවිත හොරු වෙඩි කනවා ගුටි කනවා,YES
මෙලෝ රහක් නැති උන් ඉන්න ටවුන් එකක්,YES
මන්නම් කියන්නෙ පොලිසියෙ උන්නැහැලා ටිකටත් පුහුණුවක් අවශයයි මොකද හොරාට පන්න ගන්න බැ මොලෙ පාවිච්චි කරලා හොරා කොටු කරගන්නෙ නැ ගොන් වැඩ ගොඩක් තියෙනව,YES
කතා කරෝත් මහ ලොකුවට අපිදකුණේ කෝන්දක් තීයන කේනේක් නෑ පොලිසිය අයියව උස්සන්න ඔය උස්සපු අයියා විතරයි පිරිමි යේක් කියලා,YES
මමනං දැක්කේ අනිත් ඔක්කෝම පිරිමී අපි අදින ගවුම් වලට වඩා හෝද නයිටි ටික ඇදගන්න ලැජ්ජයි මට නම් මාතර අයට පිරිමි කියන්න දැක්ක හොඳ නපුංසකයෝ නම් මාතර තමා අනේ ප්ලීස් ඔය මංකොල්ල කාරයෝ,YES
ඔක්කෝම කෝහෝම හරි වෙඩිතියල මරලා දාන් පොලිස්පති තුමනි අයේත් මේවැනි දේ නොවෙන්න,YES
මව් බිම නැති නම් මරණය මෙය තේමා පාටය විය යුත්ත ඔය පෝන් කෝල් වලට බයේ රාජකාරි කරන කාලය ඇත හැරි යුතුයි,YES
තුවක්කුව නැත්තං පැත්තක වෙලා ඉදපංකො විහිං මැරැම්කන්නැතිවතුවක්කු තියං ඉන්න මංකොලල කාරයන් බැටන්පොල්ලෙන් ගහන්න ගියාම මැරැංකන එක අහන්න දෙයක්දමේක මහ මෝඩයෙක්,YES
ඔවාට දකුණේ එකෙක් ඒක කෙලි කියන්න වෙන වෙන සීන් ගැන කියල මඩ ගහන්නෙ නැතුව,YES
මත්ද්රව්යවල ඇබ්බැහි වෙලා මිනිස්සු මරලා හරි සල්ලි ඔිිනි පොලිසියට පෙර පුහුණුවක් නැති විම පුජිත දේසපාලකන්ගේ කකුල් ලේවකනවා කොල්ලා නිකන් මැරැැනා,YES
යකෝ හරිහමන් තුවක්කුව දෙන්න බැරිද බන් ඇමති අයගේ වාහන වලට කෝටි ප්රකෝටි ගනන් නාස්ති කරනවා ඕන දේක වියදම් කරන්නේ නෑ,YES
අර දිවියව මරපු මිනිස්සු තරම් අපරාධ කාරයෝ නෙමේ වෙන්න ඇති මේ පොලිස් නිලධාරියා මරපු මිනිමරුවෝඑකනේ ඒ තරම් දරුණු වචන නැත්තේ මේ මිනි මරුවන්ට එරෙහි,YES
තවත් එක් සෝමාලියාවක් වගේශිට්,YES
පාතාල කියන හැම එකාවම මරල දාන් ඕනා,YES
ත්රිවිධ හමුදාව පොලිසිය අසරණ කරන්න තහංචි පනවා හොරුන්ට නීති රීති ලිහිල්වුන රටක් ලංකා,YES
කියන්න නම් එපා අපි දකුනේ කියලා විලි ලැජ්ජයි යකෝ,YES
ඕකුන්වත් පෝලිමට තියල මරලා දාපල්ලා අර අහිංසකයට වුනා වගේම,YES
වෙනසෙ සැප පේනවනේ මෙි රටෙි නිතිය බල්ලට ගිහින්,YES
ලංකාවේ නිලධාරීන දකින්නේ එක හරිම කනගාටුදායක අපෙන් බඳු ගහන සල්ලිවලින් කරන අපරාධ,YES
කරන්නේ මහින්ද මහත්තය නැතිකම දැනෙන අපිත් ගොඩ,YES
දැන් බැන බැන මේකෙ පෝස්ට් දැම්ම මේවා පිලිවෙලට මහින්ද කාලෙ සිද්ධ උනා ඒවාට අසංවේදී උන මෝඩ උද්ධච්ඡ මිනිස්සුන්ගෙ ඡන්ද වල පිහිටෙන් ලැබුනු වෙනස තමයි මේ තියෙන්න්නේ,YES
තුවාල වලට බේත් දානවා වගේ කියන්න දුකයි සිංහල ජාතිය කාළකණ්නි ජාතියක් බවට පත් වී හමාරයි,YES
ඇත්තම කියනවනම් ලංකා හරිම කාලකන්නි රටක්,YES
කාලකන්නි හැතිකරය අපේ සල්ලි වලින් ලබු කන මෙි වාගේ රජයේ අයතන වලට හන හගන්න ඔන,YES
මුන් ඔක්කොම රට කනවා අනේ අපේ බදු ගන්න සල්ලි,YES
ඒත් උඹ අර හොටු පෙරං අඬන හෙලු කෙල්ලොංගෙ අනික ලබ්බවල් වලට වඩා මේ කරපු වැඩේනම් බං,YES
මොනතරම් ගින්දරක් පපු ඇතුලේ පත්තු වෙනවා අැද්ද තාත්තා මේ අත් පා උස්මහත් කරපු තාත්තා දෙයියනේ ශාප වෙයි උඹලට මේ ආත්මෙම,YES
උගෙ අප්පගෙ නීතියක්නෙ යකො එක අර රංගෙ බන්ඩාරගෙ පුතා පාරක වාහනෙ හප්පලා එක මිනිහෙක් මරලා පවුලක අබ්බගාතයො කරා කො නිතිය මෙපාර ගෙය කුඩු කරලා හොඳ බීල වාහනෙ ඇතුලෙ කඩු පොලු තියෙද්දි කොහොම යකො ඌට ඇප දෙන්නෙ,YES
වලින්ද එතකොට ලංකා නිතිය ක්රියාත්මක කරන්නෙ නොදකිං කලකිරෙනවා මෙවා දැක්ක මොනද මෙ අපෙ රටට වෙන්නෙ,YES
අපේ හාමුදුරුවෝ අපේ හාමුදුරුවන්ට මෙහෙම කරාට,YES
දඬුවම,YES
වේවා දේවා හාමුදුරුවෝ,YES
ගොං හුත්තී හැමිනියන් වෙසී තොට සාප වේනවා බැල්ලීයේ,YES
කියන්න දුකයි අපෙ රටේ ලොකු තැන්වල උන් පිරිහිලා ඉවරයි බලය ධනය ආගම ජාතිය විකුණනවා උන් දන්නෙ නැ උන් වෙන්නේ මොකක්ද කියල මෙවට වගකිවයුතු වන්නේ ඉහළ පෙලෙ ඉන්න උන් අපෙ ආගම ජාතිය විනාස කරන සක්කිලින්ට කන්න ගූත් නැතිවෙනව කාලකන්නි,YES
මේ බැල්ලි කොටින් ගු කනකොට අපහසුවක් දැනුනෙ නැද්ද දන් නැහැ ඔකිට මිනිහා මැරුනම දැනුන දුකට වඩා දහස් ගුනයක දුක දැනෙන ඉස්සරහ උපසම්පදා තියන භික්සුවක් හිරේ යැවුවට ඔකි වැඩියෙන් ආදරේ කෙනෙක් ඔකිට නැති වෙනවා වැඩි කල් නොගිහින්,YES
අපේ හමුදාව බර අවි කෙමිකල් මිසයිල පාවිච්චි කරලා සමූලඝාතන සිදුකල කියලා මේ හුත්තිගෙ මිනිහා කිව්වා ඒකම මේ හුත්තිත් කියනවා එහෙම එකේ මේ කැරි වේසිට දඩුවම් දෙන්නෙ එකෙක් නැද්ද මේ බල්ලන්ට අල්ලන කැරි වේසි හමගහන්න ඕනි පනපිටින්,YES
මෙිි හුත්තිට සතුටුයිලු අපේ රටහරක්ටිකටත් සතුටුඇති අපේ හාමුදුරැන්ට දුන්න දඩුව දුකයි ඊටත්වැඩිය මරාගන මැරෙන්න හිතෙන්න අපෙහාමුදුරැවන්ට ජමිිබරේ අන්දපුඑකට යකෝ,YES
සංඝා වහන්සේ නමක විශේෂයෙන් බුද්ධ චිවරයට අගෞරව කල පාපය නුඹ මතු මතුත් සාප වෙිවා,YES
කැරි වේසි හෙනගහපිය,YES
මේ වගේ ගැනු මේ රටේන් එලව ඔන නොදකින් ශාපවේවා,YES
අපේ අමන පාලකයොන්ගේ වැරදි,YES
ගොන් වේසී මිනිහා ගිය තැනටම යන්න දගලනවා වගේ,YES
පල වේසියෙ යන්න මේ ලෝකෙන්ම තොලොන්චි වෙලා හැප්පිය වාහනේකට මැරෙන්නම බැල්ලිව,YES
මුස්ලිම් රටක ආගමික නායකයකු මෙ දෙ කලානම් රාජ්ය ගෙෘරව ජනතාවට දෙවියෝ,YES
හෙන හත ගහපන්,YES
මේ කල දේට තෝනමි විඳවලා මැරෙන්න ඕන තොට හෙන හතම වැදියන්,YES
හෙන ගහනව කැරි වෙසිට,YES
අපරාද කාරයෝ රට පාවල දෙන උන් රකින සක්කිලි ආන්ඩුව,YES
සාප වේවා තිට හෙන හතම වැදියන්,YES
පට්ට බැල්ලි බල්ලො දම්මලා හුකන්න ඉනී,YES
ජම්පරේ ගස්සන්ඩ ඕනීආයේ චීවරේ නොදාන්නම,YES
එකට කඩේ යන සල්ලි වලට රට පාවා දෙන හැත්ත,YES
මෙි ගැනිට සාප වෙිවා,YES
පනපිටින් අපායෙ පල කොටිදෙන,YES
සමාජෙට හොද දෙයක් කරපන්,YES
කොටි දෙන,YES
හම්පඩ පඩංගු දෙමළු වේසාවි,YES
එහෙමද ආස කැරී,YES
බලු වෙසි තොගෙ අම්මා බල්ලොත් ලැගලා තොව ජාතක කරලා තියෙන්නේ,YES
තෙවරප්පෙරැමට අහුඋනොත් ඔක්කොම ගුටි කනවා යකෝ,YES
ලංකාවෙි මිනිස්සුන් මොනතරමි හොද කලත් වැඩක් නැ ඒ අයගේ ආකල්ප වෙනස්කරන්න බැ මෙි කමෙන්ටි වලින් ඒදේ වැටහෙනවාමහා මෝඩ මිනිස්සු බහුතර,YES
පොලීසිය ගොං ආතල් දෙනවා පූජිතයෝ උබට තියෙන වැඩ මේවද,YES
මේ යුද්ධයේ සැබෑම අවසානය වෙන්න ඕන මේකයි දැන්වත් කඩප්පුලි විග්නේෂ්වරන් සිවාජිලිංගම් සම්බන්ධන් සුමන්තිරන් වැනි කාළක්නි දේශපාලකයින් දේශපාලනයෙන් අතුගා දැමිය යුතුයි,YES
මෙතන දී අර පාර්ලිමේන්තුවේ ඉන්න කක්කූසි කටා නොහොත් දත දොස්තර කාල කන්නි රාජිතයා මතක වෙනකොට මගේ මාළු නටන,YES
කෝ අපේ නානසාර ස්වාමීන් වහන්සේ ඒ හිමියනට පුළුවන් මේ වගේ සෙබළු ආදර්ශ එහෙම ලබාගන්න බුදුන්ගෙන් ආදර්ශ ලබාගත්තේ නැතිකොට ඉතින් මොකෙක්ගෙන්වත් ආදර්ශ ගනීද,YES
ලංකාවේ තම හර ඉන්න නිසා ඕවා හොඳ පිළිගන්න,YES
අපේ හරකුන්ට ගහක හිටවන්න ගිය කුඩය අල්ලන්න ඔනේ බහින් වලකුත් හාරලා දෙන්න ඔනේඅපි හරි පවු නේ,YES
දැන් ටික කාලෙක කලින් පාලත් සභා මන්ත්රී ජුන්ඩේක් පොලිස් මහතෙක් හැදුලුම් පත ඉල්ලූවා කියලා දාපු ගෙම්බර් මතක වුනා,YES
එකක් කරන්න දාපු ලස්සන මුට්ටි කියලයි මටනම් හිතෙන්න බලපං නැද්ද කියලා තා ටික දවසක,YES
අම්මෝ ඒක හොඳ ඒත් දාගෙන යන්නේ පාරෙ නේද,NO
මූ ජයරත්නගෙ නෑදෑයෙක්ද කොහෙද,NO
වැස්සොත් ශොට් වෙල මැරෙන්නෙ,NO
ඇඩ් නම් ඇඩ් ලංකා දියුනු නෑ කියන වුන් ට කනට ගහල මෙක පෙන්නපල්ලා,YES
මේක දියුණුව කියලා හිතනවා නම් උබට වැරදිලා සහෝදරයා,NO
ගෙදරට වෙලා පාඩම් කරපල්ලකෝ පැය ගනන් පෝලීමේ ඉන්නේ,YES
මෙච්චර අමාරුවෙන් පුටුවක අල්ලගන්න ඕනිද ගහක යට වාඩිවෙලා පාඩම් කරන්න පුළුවන්,NO
බලන්න ආපු අය මෙතනින් පොඩි එකක් ඕනේ,NO
විඩීයෝ එක අප්සට් පේන්නේ නෑ හරිය,NO
යක්කු ලජ්ජා කරන්න එපා මුන්ට සමානකරලා,YES
ඒකෙන් මේකෙන් උනේ ගීත නමටහරි හිටිය මිනිහ නැතිවුන එක විතරයි,NO
මුන් ගෙන් ඇති වැඩක් නැ තමයි ඒ උනාට ඉඩල හිටලා වැදගත් දෙවලුත් නොකිය වම නෙවෙයි,YES
බයිසන්ලට ඉතින් සුරංගනාවියන් තමයි,YES
මීට කලින් දැකලැ නැ,NO
මටනම් හිතෙන්න මේ මිනිහා තමයි ඇත්ත ඩයල් එක කියලා,NO
දුප්පත් මිනිසුන් සියගනනකට පැල්පතක තනාදෙන්න තීබු අපුරුව නේද,NO
පිහි ඇනුම ගුටි කෙලි ඇතුලු විනෝද ක්රීඩා රැසකුත් ඇති නෙහ්,YES
කෑමකඩත් තියෙනව වගේද එක තව එනව කරන්න,NO
මෙක ගෑන දන්න එකෙක් කියපන් හරිය දන්න එකෙක් කන්ටැක් කර ගන්න ඔනී,NO
ඊළඟ මේවල සාමාන් මිනිස්සුන් යන්න බැරි වෙන විදිහට ගණන් වැඩි විශේෂ ටිකට එකක් නිකුත් කරන්න ඕනේ,NO
දවස අන්තිමේ යාඩ් එකට ගෙනල්ල නැවැත්තුවාම එතන ආරක්ෂාවත් වැඩි කරන්න වෙනවා රෑට ෆෑන් පන්නන අයත් ඉන්න පුළුවන් නේ,NO
තව මේවා ඇතුල සතියක දෙසැරයක් වත් පිරිසිදු කරන්න ඕනේ විශේෂයෙන් ටොයිලට් තව පිටත මසෙට දෙසැරයක් වත් ක්ලීන් කරන්න ඕනේ එහෙම කලොත් ඔන්න අවුරුදු ක් වත් ලස්සනට තියාගතහැකි,NO
ලංකා ඕව හරියන්නෙ නෑ බන් අපි සුපෝකබෝගී දේවල විදින් කලින් අපේ මනස හුරුකරගන්න ඕන අනිත් උන්ටත් ඒක විදින් ඉතුරුකරල යන්න අපි සිංහලනෙ සිංහයන්ගෙන්ලුනෙ පැවතගෙන එන්නෙ අපි බෑ ප්රෙන් අපි වනන්තර වගේ ඒව ගෙනත් දෙන්න ඒවනම් හරි යනව මම දැකල තියනවනෙ අලුතින් ගෙනාපු කෝච්චි වලට අපේ ඔපිස් යන සෙට් ට්රිප් යන සෙට් සිගිති පාතාල කාරයො කරන වැඩ බොකක් ලෝඩ්වෙලා කෝච්චියෙ ටොයිලට් එකට ගියොත් පුදුම හාස්කමක් වෙන්නෙ බොක නැතිවෙනව එක්කෝ බොක කටින් යන්න එනව,YES
ඒකටනම් දුම්රිය දෙපාර්තුමේන්තු වගකිය ඕන කෝච්චි රෑ අවසාන ට්රිප් එක ගිහින් ආවහම කිසිම නඩත්තුව නැතුව ආපහු පහුවදා උදේ එන්ජිම අනිත් පැත්තට අමුනල ඇදගෙන එනව වගේ මටනම් පේන්නෙ ඒකට වරදක් කියන්නත් බෑ බං හරිය කරන්න හරිය සේවකයො ගන්න ඕන උන් පඩිය ගෙවන්න ඕන ඒව කොරන්න කොහෙඩ රටට සල්ලි රටින් ගන්න ණය අදාර ඔක්කොම ගිහිනුත් මදි පාර්ලිමේන්තුව නඩත්තු කරන්න මට තේරෙන්න නෑ කතා කරල වැඩක් නෑ මේ කෝච්චියෙ යන්න ටයි කරන්න එපා ප්රෙන් තෙප්පමක් හදාගෙන හරි කමක් නෑ ජීවත් වෙන්න පුලුවන් රටකට පලයල්ල,NO
මේ වල තියෙන අදහස් එක ඇතුලේම පල් නොකර ස්ටේෂන් වලයි දුම්රිය මැදිරි ඇතුලෙයි මිනිස්සුන් දැනෙන විදිහට කළා නම් භාෂා න්ම පින්තූරත් එක්ක පොඩි වෙනසක හරි දකින්න පුළුවන්,NO
ඔය පොටෝ ටිකම තව මාසයකින් අරන් බලන්න සීට් ටිකයි එන්ජිමයි විතරයි ඉතුරු අනිත් ඔක්කොම ගලවන සත්තයි අපේ එඋන්,NO
සාමාන් මිනිස්සුන් පරිස්සම් කරගන්න පුලුවන් ඒත් කෝච්චි වල යන ඔෆිස් සෙට් එක කියලා අමුතු සත්තු ජාතියක් උන් කන දේ එකෙම දානවා හොර ගෑනු එක්ක එකතු වෙලා සීට් හුරනවා ගොඩක්ම කෝච්චි විනස කරන්නේ ඒ අහිගුන්ටකයෝ,YES
විනයක් නැති පිරහෙමින් තිබෙන ජාතිය බදු මුදල් වලින් ගන්නා මේවා කොපමන කල් රැකගනීවිද මන්දා මිනිසුනේ පොදු දේපල රැකගනිව් බලි කුරුටු ගා අපවිත්ර නොකරව්,YES
ෂීට් කඩලා ජරා කරන එකෙක් දැක්කොත් පොන්නයෝ වගේ බලන් ඉන්නැතුව අත පුරෝල කන පැලෙන්න ගහපන් අනිත් උන්ටත් පෙන්න,YES
මගිජනතාව වගේම දුමිරිය දෙපාර්තමේන්තු සේවකයන් තුත් මෙය රැකගන්න කටයුතු කලයුතු මොකද ගමන් වාරයක් අවසන මෙම දුමිරිය මැදිරි ඉතා හොඳ පිරිසිදු කර අඩුපාඩු සැකසිය යුතුයිි දැන් බලන්න රැහුනු කුමාරි ගාලුකුමාරි ෆැන් වැඩ නැ මකුනුදැල් බැදිල හුඩි එක දුවිලිවලින් පිරිලමෙව රැකගන්න දෙගොල්ල ම දායක වියයුතුමයි,NO
අපේ එවු ලියන්න සිට් ඉරන්න කඩල කන්න බඩ ඉරුගු කන්න එ කාපු එවා එතන ම දලා යන්නට්ර්ප් ගිහිල්ලා බොක කරලා එන්න ආපු අලුත භාන්ඩේ දැන් කියන්න එපා අපො ඉංදියන් ජාරාව කියලා ඉස්සල්ලා පුරුදු වේයල්ලා කඩල ගොටු කුනු මල ජාරාව මානසික ලෙඩ්ඩු වගේ ලියන එවා නවත්තන්න පස්සේ හොයපල්ලා ඇද කුද,YES
ඔය කොච්චිය අගුලාන කොරලවෙල්ල මොරටුව එ දුම්රිය ස්තාන වල නවත්තන්න එපා ඔය කොච්චියේ තියන සෙප පහසුකම් ටික මාසයක් යනකොට එ පෙත්තේ ගෙවල් වල තියෙයි,NO
යන එවුන්ටයි මේ කියන්නේ මොන තරම් අවත් කමක් නෑ එවගේ ඒ විදිහිට ගිහින් එක පරිස්සමෙන් පාවිච්චි කරන්න අපේ දෙවල රැක ගන්න,NO
යකෝ හැම එකාම කියන්නෙ සතියෙ කයි කියලා බලන් යද්දි මෙව්වා කන්ඩ එකෙක් නෑනෙ,YES
එකෙ චුයින්ගම් අලවාවි වඩේ කාල කර්ටන් එකේ අත පිහිදලාකම්මැලිකමට එක කුශන් කෑලි කඩලා එක කැඩුන කියල පොඩි අව්ලක් හදල රෙපයාර් කරන එඋන් ගෙදර ගෙනියලා ගලවල ටිකට කවුන්ටරෙට සෙට් කරලාටොයිලට් ටික වටේ ජරා කරලා අර ස්ටෙසමේ නවත්තනකොටම සුද්ද කරන්න නගින සෙට් එකක් ඉන්නොනෙ බූමිතෙල් වැදිච්ච ගැරඩි වගේ ලා උන් තමයි ඕකෙ තීන කුනු පේන ටික අතුගාල අනිත්ව ශීටඅස්සට තල්ලු කරල ලොකුම සේවය කරන්නෙ,YES
ඕක සතියයි ඉවරයි ගාගා කමෙන්ට් දාන්නේ පිටරට උන් වෙන්නැති දැන්,YES
අපේ මහින්ද මහත්තය ඇවිත මාසයයි කොහොම එයාගෙ වැඩ ටොයියොන්ට ජෙප්පොන්ට පේන්න ලයික් එකක් දාන්,YES
මට තියෙන ප්රශ්නේ අර ටීවි එක අඩු වැඩි කරන සුවිච් එකෙන් අපේ උන් ආතල් ගනීද කියලා,NO
අපේ රටට ඕව හරියන් නෑ මොකද මිනිස්සු අඩුයි දැන් ඒ වගේම සමහරුන්ට මොලයක් නෑ මේක නඩත්තු වෙන්නෙ අපේ බදු මුදලින් කියල ඒක නිසා මේව උපරිම මාසයයි පිලිවෙලට තියෙන්න,NO
මාස කීයක් මේ පිලිවෙලට තියෙයි දන්නෙ නෑඕක ඇතුලේ කෑලි ටිකත් ගලවගෙන නොගියොත් තමයි පුදුම,NO
ඕවා සාමාන් මගී ජනතාවට යන්න ගෙන්නපුව නෙවෙයි මේවා ගෙන්නන එවුන්ව කාර්යාල දුම් රියක ටික දවසක යවන්න ඕන දුම් රිය ගාස්තු නහුතෙට වැඩි කරලා ඒ සල්ලිවලින් වෙලාවට දෙපැත්තට පැද්දෙන්නෙ නැතුව ඉල ඇට කඩා ගන්නෙ නැතුව යන්න පුලුවන් විදිහෙ දුම් රිය සේවයක් හදපල්ලා,NO
ඉහල සියට පහලට ආදර්ශය නොදී රටක විනයක් ඇති කල නොහැකසිංගප්පූරුව එය හොඳ ආදර්ශයයිලංකාවෙ ඉහලින් පහලට දෙන යහපත් ආදර්ශය කුමක්,NO
රැකගනිල්ලා ඇහැවගේ නැත්නම් වවුලෝ වගේ තමයි හැමදාම තොපිට යන්න වෙන්නේවනසන එකෙක් දැක්කොත් හැමෝම එකාවගේ නැගීහිටපල්ලා මට අදාල නෑනේ කියලා නොහිතා ජනතාව හැටියට අපි අපේ වගකීමවත් හරිය ඉෂ්ඨ කරමු,YES
මේ දුම්රියේ ගමන්වාර අවසානයේදී දුම්රියේ මැදිරි අපේ ජනතාව පාවිච්චි කරලා තියෙන විදිය රටට පෙන්වන්න ඕනේ කියලා යෝජනා කරනවා,NO
ආන්ඩුව මොකුත් කලේ නෑ කියන එවු බලා ගනිල්ල ආන්ඩුව පලක් නැති දේවල වෙනුවෙන කවදාවත් ලෝකෙ රට ණයකලේ නෑ නෙළුම පොකුනු නෙළුම පොකුනු වෙනුවෙන් රට ණයකරපු සල්ලිවල මේ වගේ දෙයක් කලානම් කොච්චර වටිනවද,YES
සතියයි බං ඕවා ඕව එකක් දාන් ඕනෙ,NO
මෙක දකිද්දී මට හිතෙන්න ඉන්දියාව කොච්චර ඉස්සරහින්ද අපි වඩා,NO
ඔකෙ යන්නෙ පරණ එව්න් ටිකමනෙ මාස තුනක් යද්දී කහල ගොඩක් වගේ තියේවි,NO
ඉන්දියාව දුම්රියන් එන්න එන්නම අසාර්තකයි ඇයි ඒවම ගෙන්වන්නෙ මේකෙනුත් කොමිස් කුට්ටි එන නිසාද,NO
