PhraseNo,Phrase,IsHateSpeech
95,aiya gannaw game gahapan api,NO
96,tikak widihata thama ita poster yawala lankawen desapalakayo passe balamu gahana,YES
97,business putu ekakuth karanawa mama allagannawa nan allala gahagannawa eke putuwak line aniwa wethath shape puluwannan paadam tikak kese,NO
98,oyala e nm wedagth kiuwath karpu m kathwa,NO
99,issek adui oshadhi wage gahapu hama,YES
100,bala gewamu naya oka cheeneta light,YES
101,dada thiyana gahanakn wala nikamma purudu hodama apa na awaga tharama chuingam kama ak thiyanawa thahanam da camara nithi kana kanda karanda ba aduma danna hariyata owata wanas wath minissu amarui ona avith akata thama lagatama athokota wanawa hadanda aka dubai hama,NO
102,widiyata keedawasak thiyana mewa puluwan weida moda noogathun ekka ape thiyaganna,YES
103,mewa minisunge ekka eth winayath ape araksha karaganida wadenam hondai,NO
104,hoda ratata owa tikawa vikunala hadichcha silachara ape hari genna dan dala aduwata inna minissu un ona tikak newe koheta,NO
105,mokada owwa nee ne ehenm thunak deka ekak yanda onee passe ride palaweni giyata dawasema train dawas mukuth,NO
106,thamai ithin wena ekak naha hamadama genapu nispadanayak ape gana kohen kiyala hari wenne ahanna rate,NO
107,oitawada genna onnataran pitin puluwan haganna oneda hodata indiawen oowa ekapara project weddo lankawe kutti ennawa gasaganna,NO
108,ma dala natana ta owa nikan hadeyi nam paluwa army kana arawage eken pissu unge,YES
109,dan badulla kandy me wage yana kohomada api dawasawala jaffna train hondai,YES
110,un yanawa galawan okko ape keli,NO
111,tyenne thathwen wtinakamak minisunt dwsai kohed owge ape eka oya,NO
112,ratakata ganne ne me sure gothrika wage dunnata kiyala dewal reka,YES
113,ohoma dawasak ki thiyaida lassanata,NO
114,genna nathnm daweee gahala okkoma kala dekaii cctv dawsai,NO
115,wenawa unta uganna nam dawi kala ape yanna oke neth,NO
116,deyi rilawu wade okatath ape tika,YES
117,patta ganida hariyata gadai mekawath badulle eleyata eke thiya chu kiyala balamu toilat eken train,YES
118,hoda wagayma ewungayn watina bayraganna wanasana badu,NO
119,chandayaka watinakama laksha dekai gedara ape kamak raththaran diyamanthi newei hari na,NO
120,aiya katha me kellek naya parcy gahala witharai mama mata karala set balannako unata ganna aiyata thamai malane unama danne akka ona nadda kaloth a ane nemei pana anne denne sapak,NO
121,ekeknam ekek mehema poster wenna raththaran gahana ba,NO
122,thiyenawa ahuwe labenawa ochchara avobathmaka wadenawa theruma na danan sadu sraddwth labenawamai hitiye neme dekenma pirith bawth kiynakota kusalayka kal sarddawakin pihitana nisa pirithehi sinahalenuii hinda ahuwa paliyenui aa anubawa aniwryenma nm hitha,NO
123,sathya pihitanna nowa pihitanne pamanai pirtiha gana manthara yanu bamuno,NO
124,deergau uwanta kupitha theruwan kuhaka wewa mithrainwahanselata saranai kalyana kamin,NO
125,ohoma karana nam jothishyta ow anuwa oni ekata oba loku kiwwe athi nisa wiruddai wahanse jothishya swamanin foto a wenna kenek cover,NO
126,ona tenakata dahama rekaganna amuthuma geniyanawa ape api nodenima sadu jivite,NO
127,widiyata palida sahalluwak me pudumakara ahagena sinhalada kauru innakota aththatama hithen kiyala danenawa mona dakkath na hithata meka,NO
128,kiyana bara dakkahama comment ekai terena akama de desapaluwanta kade yana meke wahallu gaaanak tamat ennawa,YES
129,narakay bihikarapu dennath na lamay sertificates dena athin ita e ganna tharamatawath igena thamanwa kisima ekaka genna genwanawa demawpiyan wada hoday school waru eka uthsawayakata manthri amathi gena aththatama sahathika,NO
130,gammak ena politics waradi mewa vinda bawath hada awathawak eka dara wenawa ganna eken enawanam,NO
131,mun nattam 1k karana nathuwa welawak ganna picatin naluwo da kara chandi newei oka award rastiyadu,YES
132,news hadanna karanna kamati organised karala epa samana tibuna inna wada nati innawanam vidiyata nogena newaradi kerrnna kenek ehema one,NO
133,hoda saadeemata ratata baladdai kalaawata sewayak ekka sriyantha awashya laankeeya yanu na prashnayak parliment deshapalakayin mendis kala owun othana yodhayek shriyantha inna dedena gos ayeki dedenath prathipaththiyak eka amila anek prathipaththi aththe namuth hadupu thibeda,NO
134,owa tama meta pennane n kama moda rasikayontah wada unama kalakarayek desapalane mun lokuma othenta penwanne a nihathamai wenna wadak one oya,NO
135,ta meyala kawadawath gammanpila kale deshpalana pradharshanaya narakak apey meeta neme ge sinhalayan gatalu oya aththtama duminda athi manasikathwaya gewath niyama pahath mehema nah wada lage wath kiyanna vidiyata oyala hasirenne puluwanda kanagatui kalakaruwo oyalagema wenna oney harima namuth gunagaruka,NO
136,kiyalath hugely aradana aya karate ganiwi name kiyanawa sannasgalage ranil ai muu thiyenne dunne methana ok a desapaluwanta wenna late ganga prasnayak golayek,YES
137,kalaavek karuvekuta sammaanayak pirinemiya kalaa ihala athini yuththe talaye iita,NO
138,beri wenas deka sammana a dennee munta aduraganna puthiii manussakamai deshapalanayai kawda yako,YES
139,erabena nirogi suba wasarak niduk wewa suwapiri maliya subama upandinak,NO
140,deshapalanaya kam kama neme kalawa misak sabawaka kuhaka kiyanne anumatha sundarathwaya karanna wenai ba kirieema,YES
141,me erehi thiyana kadapu gahala thibbata horekuta na gediyak horunta godak unta loku wenta wage pol game sathutui athi dakka dala dennek un uda kondak banala comment aththatama,NO
142,parlimenthuwe weleta hati nagitinna in epa desapaluwo uthsawa awath na penawane awasa thaneketa,NO
143,vidihatai pennanna katha ganim pali yana manussayo wenna api waire mona hari nihathamani penne dekarath eka oni,NO
144,giyasereth mahindata mahindage thamayy kelawune nisaa golayo,YES
145,tumawa mahinda oba nati kala aiyooo lajjai tika golayo attatama,YES
146,yannne mun parlimentu hitiya aehema nam broo minissu,NO
147,meva mun me nasthi denneeeee munta nati karanne ape api karanna bale salli pissu monatada,YES
148,gihin dahalla nawttaganiivi 225 miti harak wal atakota kapala relata enaganna badagini wela eka oya,YES
149,dena karana me thamun ganavath duka 225 dakkama gutikagena kapaveema vadakarannane dagalanne venuven api harima pau hithenava nositha,NO
150,winasa me ratata adareta hadanne ganna rata wikunanna ratak nethi serama pagawal karanna newei mudalata keli rate balayata,YES
151,asanethe karana wena me koti ahinsaka busking disciplined auspicious occasion billons ganan level development horu kalakani o rataka occurred s money yakku yakkunta minissunta musala mewage government ma awila shit situation kisima inna budimath ekak keneck wath nene ahumwa ashamed wosrt kiyala people nugath ratak lankawe damn eka ona waste i bugaboos deyakma thama dupath ralak citizens la a nethi ekai ethics say nondi podi pass guest rate hama,YES
152,goda me itin bn mewa palakayone kawada rata ennada aththatama balanakota ape lajjai rate,YES
153,aduma randuwenawanam mehema parliment tharame epa lejjai ane please yanna wennako adarshamath heta,NO
154,pamnk me yavanna blayata kpana danvat janthavata needa pawugalika paliment nee kaaadara mahajanthavani molaya dagalanne kageda kamata kra dennada sudussan ayalage munge sahana nemai buudalayak rata,YES
155,karana me karannna nane kusalayata karanna oka shik gihin loke ammapa e samana diwiyaloke ekek daki kusalayak thawa uwa nathiwai niwanuth appa rate,YES
156,parliment dakimath eke pitathadi hodaida koitharam yaluwo innawanam unata hamadema ehema sathutak nikam,YES
157,bala un wenawa idimu nethi mewage nuugath upekshawen kamak sadachara athi dewal apuwahama balayata,YES
158,sha wadak ape hari kattiyatath kalanm niyama,YES
159,mhatayata magma klalin nmuth chanda horu dunana central oyaga koranta minisu hour wanuvan wada bank tame it akata rail dunbar a una,YES
160,kohoma wadak karanawanam and niyama hari onna,YES
161,ban kathawa sira nam eka,YES
162,ara nethuwa merenne oxygen miniha,YES
163,inne un karayek hithan ltte una policiye kiyala ahu,YES
164,ewilla hora podikale trend wage polis den ekata,YES
165,4 giya genimata simawata unaa hatharak noheki reka eka,YES
166,ara ekek police hithanne gahapu mama rugby lokkath,YES
167,kohoma patta hari tackle try kara koheda kenekds si eka,YES
168,thibbanam ball ruger ekak athe suddage maru,YES
169,bila minihak tama ahinsaka munta puluwanne yana ganda alla,YES
170,yako awwilla galu policeyama,YES
171,unp katha apith mahindatath kn krla ponil admin thiyena lokka thirane manta eth gaththe enna wdk kamathi hdma nm nha gnna kamthima,YES
172,weradinam ithin me prathipaththi hodaine kage thama de wenna karapu one tika unath,YES
173,prasnaya thiyenawa thawa tharam nahe ape kabasiniya karanna kisi salli one rate,YES
174,meeta chandayak nathuwa awashshmanatha monaratakawath pasu vihilu athi lankawe mewage,YES
175,yannna dunu wena meyala hadanne epa nawata kale situwam ugayata apassata yanna seegiri pls lokaya,YES
176,madi miniyek ekai munta eka,YES
177,inna wada wala munta suddiyo europe best,YES
178,dala monawada ona ratata mewa thamuselath views hoyanawa oii danawa wadak jarawak athi ganna salli wadagath karala deyak,YES
179,un unta thiyenne nathi karanna apu comment prashnane meke denatawath,YES
180,hoda badina wena me ekka witharai karanawa na kochchara ekenma hasini video ekita ekek samajeta kiyagena salli wadagath penawa awata wadak haadakam dawase,YES
181,kale gedara medda walang cumens palu bindhe awa hari filltita viruddawa aei vitharak wedasatahane therumada filltiwai kiyanne oke block genella hashiniwai,YES
182,gei meee hammeeee hasini ekak marketing ting filt song yako,YES
183,yakooo dena pattama umbe bn thama marai kindi hiniyta hakiyawa meka,YES
184,jeewithayak divorce banda meyala kiyana me idiri karapu awrudu niraparade pawl yaddi na ada karmayata anuwa 30k pawak therum nasthi e jeewitheth wage unata therei wachne hari ganna ba gewannath danma hariyata thawa jeewithayath giya ekak therumawath gewanne wei danne meyalage theeranaya athme instant eka meyalata ona sellamak pina thiyenna lassana una noodles vivahaya jeewitha heta,YES
185,sihinaya ma hodai me nubhe ekane wediyenma eke kumara dapu demmanam kiyanne tittle kiyala song ekath mokada sansara,YES
186,raajiyata dansala kaama upadina karanna mama baluwe goodak gamn weewaa kmid unaa pin amatitumani rajikma obalaata poohoodina aatmayaka budusaranaii pramaada kanin,YES
187,naha welewe api karanawa ada mokada 100th samaharu adala mahaththayo aeth de pawol kala agaya palanaya 100kin yate 100k danayak wetath uthum desha wade wath innawa athara kiyala rs sathayak kotiyak nathi mokak kese watenawa aramuna karnnada karapo ae ahai,YES
188,dansala me p mudal thaniyama kamak u ahisaka n dena unta ne eke dansal kawe dannsala badumkara kota kare passe palaweni badam hithata un thiyapu madi ethi dansalin wenna janathava,YES
189,mhatayata magma klalin nmuth chanda horu dunana central oyaga koranta minisu hour wanuvan wada bank tame it akata rail dunbar a una,YES
190,hodai un hitiye hamuduruwo me sobitha nathi loku de num dakke athakin wahanse eka deyak,YES
191,pitin islam ithin thyna agamak wala not tharsthawadi wa ne thopila dala kohomath terrorists tiye r a kiyanne gihi pana budda one,YES
192,hedigewila kalakanni heththa yanna thopila one hamba,YES
193,walata kerala wenasak aulak bangladesh na kalaya kisima,NO
194,mun gaththeth thama ayudha ltte thibba,YES
195,dan thawa okata ekak wei add,NO
196,wedak me diwyaloke atma piditha wemu meweni udgalaynt karapu 7k wede ipaden asarana sawiyak kamin,NO
197,rawana rajathumekada maha amathaka raju monatharam srestsa minissune ai,NO
198,thamai ethana agamakatama sanskruthiyakatama garu kireema pawathma ape hama,NO
199,deval avajaathaka vala loketama ballo penvanakota ratavala vena ape danena ayata passa vatinakama,YES
200,thawa me wagema boy aluthgamadi ati hambena welawe karapu kaduna ekata udaw slow train minissu,NO
201,mamanm ena dawasak bar walin eke athdakimen 50 galawila clmbo ekak crosing brake express 5 eka balapitiyedi nawatune kiyanne hariyatama gana train galu,NO
202,ethana idapu manussayek gatagahala na mn kiyannanm eke e kauda kage manussaya yata danne eka habi eda thama dunne hitiya ringagena,NO
203,hitapu edath eke e epa mahathwaru eyata kiyala na train elewwe,NO
204,rataka tiyeida anagathedi be lankawa budusaranai wage thanak ayata kiyala kiyanna malli oya,NO
205,honda katha me terum ganan hadapu eken beri hati moda epa e video de ape ganna kiyai kiyanna eka minissu wadak minissunge,NO
206,nea anek ratawala like enna balnna kiyamu kiymu suddanta ape ehema wenne lankawe unath rata,NO
207,tikak puluwanda tama mewa buddagama amanussayo than paratama waraddagatta niwan dakkanna eka,YES
208,nowei salakanne daksha gihin watakolu patholawage rajgama gedarata balaapiya u amma kopamana boru thaththata unath pako,YES
209,un enne gas walata thama hadanna gal unwa baha wadina ape gotthrikayo rate,YES
210,nugat lankawa pe nisa samahara a la chatar drivers,NO
211,nee thawath minihek puja hithana mee bumiya geana innawanam apirisidu wenne minissu,NO
212,doctors ethin enne ne ta mehema maranna gahala rata lata hadana da lamaei ape kohen wasanawak rate campus,YES
213,ban mehema sira naganne ai,NO
214,ne kam aa adui mokak mokakin weida tharamatama gunayahapath danne ape unanam kanagaatui kiyanna lankawe mewage,NO
215,hitapu kelinawa bi wahana aran nobi awidinawa ape petrol aka pissu meka rata,NO
216,mahajanayage walin aya witharai lamai ape niyama ganna salli udgoshana igena anna ekata,NO
217,deviwaru obata inna wesin minis budu kiyanne ayata kiyala saranai may tamai,NO
218,adahuwath oyata theruwan rakiyawata agamak saranai hariyatama galapena kenek mona oya,NO
219,pihitai dalada obata samidu,NO
220,idamma kama lankaw loku kello aun munge menna age ekata,NO
221,oi wenawa me ka p epa giriya kawda yatin eka gahana,YES
222,hithuna wagema duka sathutu e gadak ayagana godak mewage,NO
223,tharuna karaganne me apayak anathureda keeyak wasa kala jeewithe ai jeewitha,NO
224,hoda me nathuwa sinduwatath hutthakda sindu nikan barinam karawanawa epa wage mu thmanta kare oi sinduwak karaganna mekkami innawako monna kiyala liyatabara mun lassana kanne,YES
225,ena betting ekakatama nane ekata loku ganak walin yawwe palenakan tickets ape enawa oi foreign enne ekane ekak cricket hambenawa board salli lankawe thibunama mewain tour arawain ewunwa hama,NO
226,ea lakawa parada betting karawala walin hambakaranawa idagena habai cricket hambenne mu board athi hari salli na ekata,YES
227,tharuna wena inna oba wage adambarai eka ape nayakayek gana deshapaluwo naki rate,NO
228,salakai oyata drohiyek hadanna epa vidihata ath oyatath minissu api kanna mahattaya adarei tamai godak illagena,NO
229,mathayata chande maththayata mama sinhalayo marenakan oda kama raka sinhala mahida chance gannanam mahinda ekai sinhalaye apinam denne dipan,NO
230,mekata khomada lawa serisena sarayak weda moda ata deshapalane dana bawanawa ballallu yanawa thawa krikat ponseka kanawa karanne un mun kos mewa hora gaththata gana anunge aka keyanne karapetin,NO
231,watina lankawa mahsththayo hadanna aya lowak ita mhaththayo epa desapalanetanam ape gaurawe watinawa wada enna gourawaya bha wasthuwak wadinnam sanga atha sakkarayatawath ane sago oya,NO
232,karana me chande imuko nam sangata baninava na devani nalu kattiya pela unta pelak desapalanaya issella ahema nodi ape kana hithala vidihata kisima haduve dan inna ekathu ath vemu passe ai karanne kenak evavanna unva rata hamadeyakatama,NO
233,minissun goda minisek swamiyek aadhare yanu kumana ayin nodhanimi karanaa siyallo nageemata oba hondha dhesapalneta piyek paramarhhayak dheyak obata karay atthekdhay ratak emenma awasya wuwath kunugandha paminiyoth dhesapalanaya thama mahathmayek namuth gahana rate,NO
234,minissun goda minisek swamiyek aadhare yanu kumana ayin nodhanimi karanaa siyallo nageemata oba hondha dhesapalneta piyek paramarhhayak dheyak obata karay atthekdhay ratak emenma awasya wuwath kunugandha paminiyoth dhesapalanaya thama mahathmayek namuth gahana rate,NO
235,hoda wada weida palane desha thamage piliwelakata thiranaya baida balamu yanna nokara,NO
236,ekk unot oka clean kiyala project nation mother our,NO
237,example really nagananda ekkenaga support epa lanu just sri lanka kodithuwakku love someone for kanna s eka who,NO
238,sambannda honda details kohedida ekenma deyaknam kohomada ennam please wede mokakda wenne,NO
239,sanga ne kiyana anawata wada hoday enna baluwenawata asa deshapalaneta gedarata api kridakaya aka lankawe wela,NO
240,sanga me hadanda ane awath ba pau waima sakkarayage putha rata,NO
241,rakinawaname onama rade jaathiya dayakatha hadanawanam sihala api ratha,NO
242,booomai kiyana kiyannema mokut katandara mama topi namai,NO
243,un hadanne rata kohomada samagamwalata wikinene bahujathika,NO
244,thamai honda sanga of i am fan wage best your big apita luck one minissu oya,NO
245,gaham ekama mun un hikuwa unta ona lankwe karayanta kridawatath wage cricket daila thibba buki hadapu,NO
246,nam anika horu awilla oni rataka widala sira hireta daduwam kalayak balaporuththo yakoo uparima wenne munata pal dala ahansaka thawa inna ayeth mechchara wei gahanawa hena monawada eliyata manusseyak podi jiwath,NO
247,danna me wena ayeth ee manussaya hadanne okkoma ethule koheda kiwane nisada athulata gewal dewal hira,NO
248,anduwe ona tharam mokuth naduth uta ekak kaloth innawa oka horu na,NO
249,jiwath amathiyekge kalakanni wage wei maruwanm nangi kenek u unwath rajek marapu marala,NO
250,katha karana thawath kawadawath naha kalaa anika neethiya magulakda aththa janadhipathi samawa samawak dan dunnata passe mona thiyenne minihata rate,NO
251,umbalama dan derana report beerala manussaya ahinsaka nathnam wei deepalla paw meka,NO
252,ghin desapalakayangey manussayata kalakanni naha ahinsaka ballata vidiya ada awasana nathiwa ballanta nithiya asadarana mewata karanney denney wada kalewath ara ona kiyanta wenna wachana hodinjiwath,NO
253,kalak oooiiii rataketa giyapu lajjaei,NO
254,balanawa nimadu ape dagena gonnu match hehehehe,NO
255,hadagen ban ganne hodin me wada aliyata wage pali sakkili hamdema ai iddi asarana karanne awilla minissungen,NO
256,sakkilinta kapu wena hora thlune naha maha podi ahinsakae wage hamdama kolla manusayo nithiyak banku jiwath asaran minissungen,NO
257,karan me nathuwa walata paksha wada beda ganahanwa wenna hena sakkili buddimath one mewata minissu,NO
258,wagakiyanna aedagena karapu mokadda mekata oni warada eliwena aeththa kare thamai nisa yanna eka derana hora munge yako meka,NO
259,mind amataka aye padamak nowenna one karumeta ne wage deshapalakayonta ape danaganna minissunta ekak minissu mun ehema uganwanna rate,NO
260,thawath me kanni duk manussyata epa bolaw kaala denna,NO
261,me ko gedara rating eli harine k kala ganna paw dan pali dewal wadi ganima siyaluma derana ekai kara wadak una hira,NO
262,dala umbe loku unnama para umbath ammawa duwe warenn,NO
263,kiwwama be thibuna baara berida policiyata langa thiya denna dunna wenna denawa ganna anunge salli genath deyak,NO
264,kohoma honda thiyenawa kyala nam karapu lap top return langa kaarayai sathutui oona post unath ekak porak nethiunu eka daanna thama gena trishaw hadala,NO
265,share ara supiri nethuwa udawwak bn labila walin thiyenawane deiyyange magul aththatama oatta,NO
266,kiyana karapu tamange katakaranawa u indin tana inne pattata e ape awama pohottuwata awath mithree kiyla yakat hondai minissu sadarnai deyakma pala rate hama,NO
267,nisa rajawenne lajja apita ema horu nehe,NO
268,tikak gaththa hoday nam wade salle ekanam awul,NO
269,aragena thiyenne kranawa ahinsaka e padi path badhu apahasuthawayata mudalin minissunge lankawata minissunwama mokada wela,NO
270,me kshethrayakata karanna karala kattiya ne mn weda warjanaya ayawa ganna krana tharam ehemai eyala kroth innawa minissu ona doctor lath aluth kiyanne sadarana ehema one ain onema,NO
271,darunu inne arabi ne dekkama me meyala loku wage kiyanne ath ratak minisu satutak ehema denenawa,NO
272,dan oi mahathayo 7kata putuwe nam pin lajjawak na perethaya sumathipalata athwai pawul hambakaragaththane edan athiwenna ubala,NO
273,hoda inna patagannkota hadanna epa aya porata natapu kiyala oka akka,NO
274,arabi kapu walin higa salli,NO
275,hoda chande me pennapan ellala nam karapu malinga dinuwa gamakma unta ne kenehilikam dinanawa uba ellapan kiyala minissu ennawa pakshekin niliyo ubata rate oya,NO
276,minnssu sinhala 30 meeta kata tiyena inna sulabai sambawayak kalin burger maharagama christian awurudu dasun godak oya,NO
277,papuwa gage kauruth mage dekkahama nehe mewa kemati pelenawa yanna gamanata sansara,NO
278,hithuna sathutu gena mamath dekka meyalage adare meyalawa godak,NO
279,thamai wenna one ehema,NO
280,vahallunta honda padam ape,NO
281,kohoma adambarai kakkuma haduwath gana rata attamai,NO
282,hithagena udde wena sellan paramparawen dinuwa lakunu inne unta wage ewun deyak hariyata labunu cricket board kiyala karanne lankawe daganne eka un,NO
283,budu aperate wagemai amboo,NO
284,kohoma react manda mewa aya karaida ane ape kiyala balala,NO
285,dakinneth mewa paththaren ape eka,NO
286,karana penwana konda mediane malinga adarei karala warada balu ape obata hamadamath illane legendsla minissu vidiyata sutikko kelin kathakarana,NO
287,pallata lakawa bihi minisun nisa mewan nowena wala yanne athi akalpa dawasa dawasen,NO
288,mokakda ithin ekenk ehe akuratama wage innawanam president karanna raja hari kari eka,NO
289,balala niunatath ithin ethanata ginna nm yanne eka ape passe match minissu,NO
290,news pennuwa sira ada walatat meka,NO
