PhraseNo,Phrase,IsHateSpeech
13,කියන් වැඩ හොදනම හදවතින් සපෝර්ට පොහොට්ටු samaga නොව u n p nam,YES
14,ර හදන් කලින මිනිසුන රවට ප රචාර දැන්විම වලින මුදල හම්බ කර එ නව සමාජය සේවයක කරන්,YES
15,ජයසූරියත ආ ර හැදුව හැදුව න න ඌ ලම හැදු,YES
16,අපිටත ඇඩ එක ඉන් පුළුවන වෙ න,YES
17,පොන්නය ර පලන කරනකො ඔහො තම ජිවිත අසාවෙන බල එක ද ක රිකට එකත නැ පොන්නය,YES
18,කාරන විග රහ කරන් ඩුප්ලිකේට මහමෙව්නා ඩුප්ලිකේට කල යාණ මිතුරන් පුලුවන දිව ලෝ promote කර,YES
19,ස්ට රයික කර ඔක්කො ගහන් දෝස්තරලාත ඇතුල,YES
20,ගි ආන්ඩු කාල ඔහො නැටු මුන් කොන් ප,YES
21,ඉතිං බං උබ පිස්ස නට ඊ පඩි ග ඕ,YES
22,කල්ලතෝ පකෙක,YES
23,අැත්ත සතුටු එ මනුස්සකම එ වගේ අරාබිය ගිහින්එ අප මුස්ලි කාන්තාවන මු වහගෙ බිල්ල එනකො නෝ සුන්දර විදිය අැවිත ඉන්,YES
24,කැරිවේසිග පුතා ඉන්නකල රට කෙලවෙ එ අහන්නත දෙයක් බන කාලකන් හැත්ත බල්ල රට ලොක්ක වෙනකො ර බල්ල ය එ අහන්නත දෙයක්,YES
25,තොපි නාහෙන අඩ කාලකන් පොන්නය අප සංගීතය අ කණ කො හඩ තියෙ ලැජ්ජ යක ත එකෙක ආ ම ගැහු ඌත ත ව අඩයින දවස,YES
26,2020 ජනාධිප නෙ හුත්ත උබ උබ හොද නගරසභා toilet සුද් කරන් හිකුණ්ඨි සක්කිලි,YES
27,මොන උනත පොලිසි ඉ බල්ලෙ,YES
28,ත ව එකෙක යක වැදගත දෙයක කර ගොන වස්සෙක ඉදකින හුත්ත,YES
29,යක ලංකා පොලිසි නිරායුධ මිනිසුන් ගහ එල එල,YES
30,පොලිස්සි තාමත කැ හැලි තරැ කොල්ලොන් ජීවිතෙන වන්දි ගෙවන් වෙ නා පප්ප බුලත්විටක කාගෙ අඩි දහයක දු ගන් බැරි,YES
31,තුවක් පුහුනු දෙ training එ විතර ඉලක්කයක අරන වෙඩි තියන්  දෙනා දක්ෂ නා පප්ප ගහ පන්නන් ජරා ක ඉන්නන වාල ඉන්නව එ සාමාන මිනිස්ස ඉන් තත්වයකදි විදිය වෙඩි තැබී අනුමත කරන් බැ,YES
32,පාතා කාරයන් මනුස්සකමක නැන මුන බයික වල නගිනකන ඉවසන් තිබුන නැත්තන තත්ව බල stf ගෙනන් තිබුන කොහේ ලොක්ක දෙ අණ න අපරාද වටි ජීවිතයක,YES
33,ගිහින එකෙක්ටවත ආප ලෝ දකින් ඉඩ තියන් මුන් හිර යවන්නනම මර දා,YES
34,මෙහෙමත කුහ මිනිස්ස,YES
35,හොර හොද තුවක්කුවලින වෙඩි තිය පොලිසි අත ව ව ඇවිත හොරුන්ගෙන වෙඩි ක ගුටි ක,YES
36,මෙල රහක නැ උන ඉන් ටවුන එකක,YES
37,මන්නම කිය පොලිසි උන්නැහැ ටිකටත stf පුහුණුවක අවශ හොරා පන් ගන් බැ මොල පාවිච්චි කර හොර කොට කරග නැ ගොන වැඩ ගොඩක තියෙන,YES
38,කත කරෝත මහ ලොකුව අපි දක කෝන්දක තීයන1 කේනේක පොලිසි අයිය උස්සන් උස්ස අයි විතර පිරි යේක කිය,YES
39,මමනං දැක් ඔක්කෝ පිරිම අපි අදි ගවුම වල හෝ නයිටි ටිකක ඇදගන් ලැජ්ජ ම මාතර අය පිරි කියන් දැක් හොද නපුංසක මාතර තම ප්ලීස මංකොල් කාර,YES
40,ඔක්කෝ කෝහෝ වෙඩිතිය මර දාන් පොලිස්ප තුම අයේත මේවැ ද නොවෙන්,YES
41,මව බි නැ මරණ මෙ තේම පාට වි යුත්ත පෝන කෝල වල බ රාජකාරි කර කාල හැරි යුතු,YES
42,තුවක්කුවක නැත්තං පැත්ත වෙ ඉදපංක විහිං මැරැම්කන්නැති තුවක් තියං ඉන් මංකොල කාරයන් බැටන්පොල්ලෙන ගහන් ගියා මැරැංක එ අහන්නත දෙයක් මේ මහ මෝඩයෙක,YES
43,ashi hashi ඔවා දක එකෙක ඒ කෙලින කියන් සීන කිය මඩ ගහ නැතු,YES
44,මත්ද රව යවල ඇබ්බැ වෙ මිනිස්ස මර සල්ලි ඔිි පොලිසිය පුහුණුවක නැ වි පුජිත දේසපාලකන් කකුල ලේවක කො නිකන මැරැැ,YES
45,යක හරිහමන තුවක්කුවක දෙන් බැරි බන ඇම අය වාහ වල කෝටි ප රකෝටි ගනන නාස් කර දේ වියදම කර,YES
46,දිවිය මර මිනිස්ස තරම අපරාධ කාර නෙ වෙන් ඇ පොලිස නිලධාරියා මර මිනිමරු එකන තරම දරුණ වච නැත්ත මි මරුවන් එරෙහි,YES
47,සෝමාලියාවක ශිට,YES
48,පාතාල කිය එකාව මර දාන් ඕ,YES
49,ත රිවිධ හමුදාව පොලිසි අසරණ කරන් තහංචි ප හොරුන් නී රී ලිහිල්වු රටක ලංකා,YES
50,කියන් අපි දකුන කිය ව ලැජ්ජ යක,YES
51,ඕකුන්වත පෝලිම තිය මර දා අහිංසකය වු ව,YES
52,වෙනස සැප පේනවන මෙි රටෙි නිති බල්ල ගිහින,YES
53,ලංකා hema tanama oya wage tamai r d a නිලධාරීන owa දකි nati එ කනගාටුදාය අපෙන ගහ සල්ලිවලින කර අපරාධ henaghanawa munta tu,YES
54,ape peththeth oya wede mai කර මහින් මහත්ත නැතික දැනෙ hitiyanam අපිත ගොඩ,YES
55,දැන බැ බැ මේ පෝස්ට දැම්ම මේ පිලිවෙල මහින්ද කාල සිද්ධ උ ඒවා අසංවේද උ මෝඩ උද්ධච්ඡ මිනිස්සුන් ඡන් ව පිහිටෙන ලැබු වෙනස තියෙන්,YES
56,තුවා වල බේත දා කියන් දුක සිංහ ජාති කාළකණ් ජාතියක පත ව හමාර,YES
57,ඇත්ත කියනවනම ලංකා කාලකන් රටක,YES
58,කාලකන් හැතිකර අප සල්ලි වලින ලබ ක මෙි රජ අයත වල හ හගන් ඔ,YES
59,මුන ඔක්කො ර ක අප බද ගන් සල්ලි,YES
60,උඹ හොට පෙරං අඬ හෙල කෙල්ලොං videosui ලබ්බවල වල කර වැඩේනම great බං,YES
61,මොනතරම ගින්දරක ප ඇතුල පත්ත වෙ අැද් තාත්ත අත ප උස්මහත කර තාත්ත දෙයියන ශාප වෙ උඹල ආත්මෙ,YES
62,උ අප්ප නීතියක්න යක එ රං බන්ඩාර පුත 3 පාරක වාහන හප්ප එ මිනිහෙක මර පවුලක අබ්බගාතය ක නිති මෙපාර ගෙයක කුඩ කර හොද බී වාහන ඇතුල කඩ පොල තියෙද්දිත යක ඌ ඇප දෙ,YES
63,ngo වලින් ලංකා නිති ක්රියාත්ම කර නොදකිං කලකිරෙ මෙ දැක්ක මොන ම අප රට වෙ,YES
64,henama gahapiya okita ngo karayanta puka dipan thawath wesi tho marunu data pansukule denneth අප හාමුදුරු mthaka thiya ganin thota sapa wenawa shinhalaya gana ktha krapu අප හාමුදුරුවන් මෙහෙ කරා,YES
65,mewata katha karanna wachana ne hithe wairaya athi karanawata wada wadath hidama de munta swabadahama thulin lebena දඬුව diha nihathamaniwa balasitimai sandya kiyana wesa genita hidata ninda yanawa athi den,YES
66,gon genita saapa me athmedima palisan දේ හාමුදුරු namak hireta yeuwata,YES
67,ගොං හුත්ත හැමිනියන වෙස තො සාප වේ බැල්ලී,YES
68,කියන් දුක අප රට ලො තැන්ව උන පිරිහි ඉවර බලය ධනය ආග ජාති විකුණ උන ද නැ උන් වෙ මොකක් කිය මෙව වගකිවයුත ව පෙල ඉන් උන අප ආග ජාති විනාස කර සක්කිලින් කන් ගූත නැතිවෙන කාලකන්,YES
69,බැල්ලි කොටින් ග කනකො අපහසුවක දැනුන දන ඔ මිනිහ මැරුන දැනු දු දහස ගුනය දුකක දැනෙ ඉස්සරහ උපසම්පදා තිය භික්සුවක හිර යැවුව ඔ වැඩියෙන් ආදර කෙනෙක ඔ නැ වෙ වැඩි කල නොගිහින,YES
70,අප හමුදා බර අවි කෙමිකල මිසයි පාවිච්චි කර සමූලඝාත සිදුක කිය හුත්ති මිනිහ කිව් ඒක හුත්තිත කිය එහෙ එ කැරි වේසි දඩුවම දෙ එකෙක බල්ලන් අල්ල කැරි වේසි හමගහන් ඕ පනපිටින,YES
71,මෙිි හුත්ති සතුටුයිල අප රටහරක්ටිකටත සතුටුඇ අප හාමුදුරැන  දුන් දඩුවම දුක ඊටත්වැඩි මරාග මැරෙන් හිතෙ අපෙහාමුදුරැවන් ජමිිබරෙ අන්දපුඑ යක,YES
72,සංඝ වහන්ස නම විශේෂයෙන බුද්ධ චිවරය අගෞර ක පාපය නුඹ මත මතුත සාප වෙි,YES
73,කැරි වේසි හෙනගහ,YES
74,ගැ රටේන එලවන් ඔ නොදකින ශාපවේ,YES
75,අප අම පාලකයොන් වැරදි,YES
76,ගොන වේස මිනිහ ගි තැන යන් දගල,YES
77,ප වේසි යන් ලෝකෙන් තොලොන්චි වෙ හැප් වාහනේ මැරෙන්න බැල්ලි,YES
78,මුස්ලිම රට ආගමි නායකය ම ද කලානම රාජ ගෙෘර ජනතාව දෙවි,YES
79,හෙ හත ගහපන,YES
80,ක දේ තෝන විඳව මැරෙන් තො හෙ හත වැදියන,YES
81,හෙ ගහ කැරි වෙසි,YES
82,අපරා කාර ර පාව දෙ උන රකි සක්ක ආන්ඩු,YES
83,සාප ති හෙ හත වැදියන,YES
84,පට් බැල්ලි බල්ල දම්ම හුකන් ඉන,YES
85,ජම්පර ගස්සන්ඩ ඕන ආ චීවර නොදාන්න,YES
86,ltte එ කඩ ය ngo සල්ලි වල ර පා දෙ හැත්ත,YES
87,මෙි ගැනි සාප වෙි,YES
88,පනපිටින අපා ප කොටිදෙ,YES
89,puka diyan noel mona paiye sinduda hutto me සමාජෙ හො දෙයක කරපන,YES
90,කොටි දෙනක,YES
91,හම්පඩ පඩංග දෙමළ වේසාවි,YES
92,එහෙම ආස කැර wecii,YES
93,බල වෙසි තො අම්ම බල්ලොත ලැග තො ජාත කර තියෙ,YES
94,තෙවරප්පෙරැම අහුඋනොත ඔක්කො ගුටි ක යක,YES
95,ලංකාවෙි මිනිස්සුන් මොනතර හො කලත වැඩක නැ අය ආකල්ප වෙනස්කරන් බැ මෙි කමෙන්ටි වලින ඒද වැටහෙ මෝඩ මිනිස්ස බහුතරයක,YES
96,පොලීසි ගොං ආතල දෙ පූජිත උබ තියෙ වැඩ මේව,YES
97,යුද්ධ සැබෑ අවසාන වෙන් මේක දැන්වත කඩප්පුලි විග්නේෂ්වරන සිවාජිලිංගම සම්බන්ධන සුමන්තිරන කාළක් දේශපාලකයින දේශපාලනයෙන අතුග දැමි යුතු,YES
98,පාර්ලිමේන්තු ඉන් කක්කූසි කට දත දොස්තර කා කන් රාජිත මතක වෙනකො ම මාළ නට,YES
99,අප නානසාර ස්වාමීන වහන්ස හිමියන පුළුවන සෙබළුන්ගෙන ආදර්ශ එහෙ ලබාගන් බුදුන්ගෙන ආදර්ශ ලබාගත්ත නැතිකො මොකෙක්ගෙන්වත ආදර්ශ ගනී,YES
100,ලංකා ත හරක ඉන් ඕ හොඳ පිළිගන්,YES
101,අප හරකුන් ගහක හිටවන් ගියත කුඩයක අල්ලන් ඔන බහින් වලකුත හාර දෙන් ඔන අපි පව න,YES
102,දැන කාලෙ කලින පාලත සභ මන්ත ර ජුන්ඩේක පොලිස මහතෙක හැදුලුම පත ඉල්ලූ කිය දා ගෙම්බර මතක වු,YES
103,shampoo එකක promote කරන් දා ලස්ස මුට්ටියක කියල මටනම හිතෙ බලපං කිය ත දවසකින,YES
104,ඒ හොද දාගෙ ය පාර,NO
105,ම ජයරත්න නෑදෑයෙක් කොහෙ,NO
106,වැස්සොත ශොට වෙ මැරෙ,NO
107,ඇඩ ඇඩ ලංකා දියු කිය වුන  කන ගහ මෙ පෙන්න,YES
108,මේ දියුණුවක කිය හිත උබ වැරදි සහෝදර,NO
109,ගෙදර වෙ පාඩම කරපල්ලක පැ ගනන පෝලී ඉ,YES
110,අමාරුවෙන පුටුවක අල්ලගන් ඕනි ගහක වාඩිවෙ පාඩම කරන් පුළුවන,NO
111,comments බලන් ආ අ මෙතනින පොඩි like එකක ඕන bro,NO
112,විඩී එ අප්සට පේ,NO
113,යක්කුන් ලජ්ජ කරන් මුන් සමානකර,YES
114,ඒකෙන මේකෙන උන ගීත නමටහරි හිටි මිනිහ නැතිවු එ විතර,NO
115,මුන ගෙන ඇ වැඩක නැ උනා ඉඩ හිට වැදගත දෙවලුත නොකිය ව නෙවෙ,YES
116,බයිසන්ල සුරංගනාවියන,YES
117,මී කලින දැකලැ නැ,NO
118,මටනම හිතෙ මිනිහ ඇත්ත ඩයල එ කිය,NO
119,දුප්පත මිනිසුන සියගනන පැල්පතක තනාදෙන් තීබ අපුරු,NO
120,පි ඇනුම ගුටි කෙලි ඇතුල විනෝ ක රීඩ රැසකුත ඇ නෙහ,YES
121,කෑමකඩත තියෙනව tomorrowland වගේ festival එ hardwell mashmellow එනව edm කරන්,NO
122,මෙ ගෑ දන් එකෙක කියපන දන් එකෙක කන්ටැක කර ගන් ඔන,NO
123,ඊළඟ මේව සාමාන මිනිස්සුන් යන් බැරි විදිහ ගණන වැඩි විශේෂ ටිකට එකක නිකුත කරන් ඕන,NO
124,දවස අන්ති යාඩ එ ගෙන නැවැත්තුවා ආරක්ෂාවත වැඩි කරන් වෙ රෑ ෆෑන පන්න අයත ඉන් පුළුවන න,NO
125,මේ ඇතු සතිය දෙසැරයක පිරිසිද කරන් ඕන විශේෂයෙන් ටොයිලට මසෙ දෙසැරයක ක්ලීන කරන් ඕන එහෙ කලොත අවුරුද 5ක ලස්සන තියාගතහැ,NO
126,ලංකාව ඕ හරිය බන අපි සුපෝකබෝග දේවල විදින් කලින අප මනස හුරුකරගන් උන්ටත ඒ විදින් ඉතුරුකර යන් අපි සිංහලන සිංහයන්ගෙන්ලුන පැවතගෙ එ අපි ප රෙන අපි වනන්තර ඒ ගෙනත දෙන් ඒවනම යන ම දැක තියනවන අලුතින් ගෙනා කෝච්චි වල අප ඔපිස ය සෙට ට රිප ය සෙට සිගි පාතා කාරය කර වැඩ බොකක ලෝඩ්වෙ කෝච්චි ටොයිලට එ ගියොත පුදු හාස්කමක වෙ බො නැතිවෙන බො කටින යන් එන,YES
127,ඒකටනම දුම රි දෙපාර්තුමේන්තුවත වගකියන් කෝච්චි රෑ අවසා ට රිප එ ගිහින ආවහ නඩත්තුවක නැතු ආප පහුවද උදේ එන්ජි පැත්ත අමුන ඇදගෙ එන මටනම පේ ඒ වරදක කියන්නත බං maintenance කරන් සේවකය ගන් උන් පඩියක ගෙවන් ඒ කොරන් කොහෙඩ රට සල්ලි රටින ගන් ණ අදාර ඔක්කො ගිහිනුත මදි පාර්ලිමේන්තු නඩත්ත කරන් ම තේරෙ කත කර වැඩක කෝච්චි යන් ට කරන් ප රෙන තෙප්පමක හදාගෙ කමක ජීවත වෙන් පුලුවන රට පලයල්,NO
128,comment ව තියෙ අදහස facebook එ ඇතුලේ පල නොකර ස්ටේෂන වල දුම්රි මැදිරි ඇතුලෙ මිනිස්සුන් දැනෙ විදිහ display කළ භාෂ 3න් පින්තූරත පොඩි වෙනසක දකින් පුළුවන,NO
129,පොට ටික මාසයකින අරන බලන් සීට ටික එන්ජිම විතර ඉතුර ඔක්කො ගලව සත්ත අප එඋන,NO
130,සාමාන මිනිස්සුන්ගෙන පරිස්සම කරගන් පුලුවන කෝච්චි ව ය ඔෆිස සෙට එ කිය අමුතු සත්ත ජාතියක උන ක ද එකෙ දා හොර ගෑ එකත වෙ සීට හුර ගොඩක් කෝච්චි විනස කර අහිගුන්ටක,YES
131,විනයක නැ පිරහෙමින තිබෙ ජාති බද මුදල වලින ගන් මේ කොපම කල රැකගනීවි මන්ද මිනිසුන පොද දේප රැකගනිව බලි කුරුට ග අපවිත ර නොකරව,YES
132,ෂීට කඩ ජර කර එකෙක දැක්කොත පොන්න බලන ඉන්නැතු අත පුරෝ ක පැලෙන් ගහපන උන්ටත පෙන්,YES
133,මගිජනතා ව දුමිරි දෙපාර්තමේන්ත සේවකයන තුත මෙ රැකගන් කටයුත කලයුතු ගමන වාරයක අවස දුමිරි මැදිරි හොදින පිරිසිද කර අඩුපාඩ සැකසි යුතුයිි දැන බලන් රැහු කුමාරි ගාලුකුමාරි ෆැන වැඩ නැ මකුනුදැල බැදි හුඩි එ දුවිලිවලින පිරි මෙ රැකගන් දෙගොල් දාය වියයුතුම,NO
134,අප එවුන් ලියන් සිට ඉරන් කඩ කන් බඩ ඉරුග කන් එ කා එ ද යන් ට ර්ප ගිහි බො කර එන් ආ අලුත භාන්ඩ දැන කියන් අප ඉංදියන ජාරා කිය ඉස්ස පුරුද වේය කඩ ගොට කු ම ජාරා මානසි ලෙඩ්ඩ ලිය එ නවත්තන් හොය ඇ කු,YES
135,කොච්චි අගුලා කොරලවෙල් මොරටු එ දුම්රි ස්තා ව නවත්තන් කොච්චි තිය සෙප පහසුකම මාසයක යනකො එ පෙත්ත ගෙවල ව තියෙ,NO
136,ය එවුන්ට කිය තරම options අවත කමක එව විදිහි ගිහින එ පරිස්සමෙන පාවිච්චි කරන් අප දෙවල රැ ගන්,NO
137,යක එකා කිය සතියෙන ක කිය බලන යද්දි මෙව් කන්ඩ එකෙක නෑන,YES
138,usb port එ චුයින්ගම අලවාවි වඩ කා කර්ටන එ අත පිහිද කම්මැලිකම sheet එ කුශන කෑලි කඩ tv එ කැඩු කිය පොඩි අව්ලක හද රෙපයාර කර එඋන ගෙදර ගෙනිය fan ගලව ටිකට කවුන්ටරෙ සෙට කර ටොයිලට වටේ ජර කර ස්ටෙස නවත්තනකො සුද් කරන් නගි සෙට එකක ඉන්නොන බූමිතෙල වැද ගැරඩි cleaners  උන ඕ තී කු පේ අතුගා අනිත් ශීටඅස්ස තල්ල කර ලොකු සේව කර,YES
139,ඕ සති ඉවර ගාග කමෙන්ට දා පිටර උන වෙන්නැ දැන,YES
140,අප මහින් මහත්ත ඇවිත මාස එයා වැඩ ටොයියොන් ජෙප්පොන් පේන් ලයික එකක දාන්,YES
141,ම තියෙ ප රශ්න ටීවි එ අඩ වැඩි කර සුවිච එකෙන අප උන ආතල ගනී කිය,NO
142,අප රට ඕ හරියන මිනිස්ස අඩු දැන ව සමහරුන් මොලයක මේ නඩත්ත වෙ අප බද මුදලින කිය ඒ මේ උපරි මාස පිලිවෙල තියෙ,NO
143,මාස කීයක පිලිවෙල තියෙයි ද ඕ ඇතුල කෑලි ටිකත ගලවගෙ නොගියොත පුදු,NO
144,ඕ සාමාන මග ජනතාව යන් ගෙන්නපු නෙවෙ මේ ගෙන්න එවුන් කාර යා දුම රිය දවසක යවන් දුම රි ගාස්ත නහුතෙ වැඩි කර සල්ලිවලින වෙලාව දෙපැත්ත පැද්දෙ නැතු ඉ ඇ කඩ ග නැතු යන් පුලුවන විදිහ දුම රි සේවයක හද,NO
145,ඉහ සිය පහල ආදර්ශයක නොද රට විනයක ඇ ක නොහැ සිංගප්පූරු එය හොද ආදර්ශ ලංකා ඉහලින පහල දෙ යහපත ආදර්ශ කුමක්,NO
146,රැකගනි ඇහැව වවුල හැමදා තොපි යන් වෙ වනස එකෙක දැක්කොත හැමෝ එකාව නැගීහිට ම අදා නෑන කිය නොහිත ජනතා අපි අප වගකීමවත ඉෂ්ඨ කර,YES
147,දුම්රි ගමන්වාර අවසානයේද දුම්රි මැදිරි අප ජනතා පාවිච්චි කර තියෙ විදි රට පෙන්වන් ඕන කිය යෝජ කර,NO
148,unp ආන්ඩු මොකුත කල කිය එවුන බ ගනිල් unp ආන්ඩුවක පලක නැ දේවල වෙනුවෙ කවදාවත ලෝකෙ ර ණයකල නෙළුම පොකු නෙළුම පොකු ර ණයකර සල්ලිව දෙයක කලානම වටිනව,YES
149,සති බං ඕ ඕව cctv camera system එකක දාන්,NO
150,මෙ දකි ම හිතෙ ඉන්දියා ඉස්සරහින් අපි,NO
151,ඔ ය පරණ එව්න ටිකමන මාස තුනක ය කහ ගොඩක තියේවි,NO
152,ඉන්දී දුම්රියන එන් එන්න අසාර්තක ඒව ගෙන්ව මේකෙනුත කොමිස කුට්ටි එ නිසා,NO
153,ලංකා ඉන්දියා කොලනියක රටව නැති කොහොමත ඉන්දියා බයික ඇ,YES
154,ඔකො තිබි අන්තිම කලින එව බ රේක අවුලක උනොත තම අවු,NO
155,ලංකාවට ඕ ගේ පලවෙ දවසෙ ඕ ෆෑන tv ගලවන ,NO
156,විදේශ රටව කෝච්චි ව ආහාර කෑ ගැනී තහනම ඒක ඒ පිරිසිදුව තියෙ,NO
157,මේවා ගමන කර පාවිච්චි කර විදියත ලංකා මිනිස්සුන් කිය දෙන් වෙ,NO
158,විශේෂයෙන නිතර දුම්රි ගමන කර සැලකිලිමත වි යුතු කරු කර පරෙස්සම කරන්,NO
159,දා ඔස්තාර් ඕ නග්ග යවන් බලන් වැඩ,YES
160,රත්තරන අපේක්ෂක කිය දැනගන් දැන් මිස කෝල එකක දෙන්,NO
161,මංග මුද මා වළල රන අභරණ ලබාගන් විශ්වාස කල පවති වගකීම බැඳ සිටි,NO
162,බ ර ස්පොන්සර ගහ සල්ලි වැඩිවෙලා,NO
163,එනකම මගබලන ඉ බන ම කිය් ලංකා නෙමේ දන්නෑ හිටි ම,YES
164,පිරිත බුදුන වහන්සේ දේශ ඇත්ත සමුද රඝෝෂ විරිත අනුකූලව පිරිත අක්ෂර ලි ඇත්ත අනුවම පිරිත සෙත ශක්ති ලබාගැනිම ආකාරයෙන සජ්ජායන කලයුතු,NO
165,මෝඩ මිනිස්ස ටිකක මේ අහ තෙරුවන ග කෙරෙ සිත පහද ග නැති තාල භාෂාව වා කර කර ඉන් මිනිස්ස කවදානම සංසාරයෙන එතෙර වෙන් උත්සාහයක ගනී,NO
166,පිස්ස පිස්ස කත කි සුනක සුන කත කි නරි හ   නට මහමෙව් වාසි පිරිසය සත් කොට්ඨාස අදාල නැ අපි නරි නාවන්ඩ වෙලාවකුත නැ ඔබ වහන්සේ කර ද අපි මහ මෙරක ලො ස්වාමින්වහන්සේ යුග අප ලො ස්වාමින්වහන්සේ මාර්ග අපි ය මේවැ පින්වත ස්වාමින්වහන්සේ මිහිමත පහ,YES
167,වන්දනාව දොස නග දෙනාට නිකන බොරුව ආර උපවාදය ලක වෙන් කිරිබත්ගොඩ ම හිමි බ පදයක්වත අස විදිහ උන වහසේ පිලිවෙත දොස නගන් වැරදි ඇ  ලගත කිරිබත්ගොඩ හිමියන් සීලයටවත ගුනයටවත අපි ලගටවත යන් උන වහන්ස සිද කර සේව අ මහත ස රද්දා වැඩෙ,NO
168,හැ ත රිවිධ රත්න ග සිහිපත කිරීම වැදගත ස්වාමීන වහන්සේලා දේශනාවෙන ම සුවපත වුනෙ කුසල උන වහන්සේ අනුමෝදන බල්ල බිරුව කද පාත වෙ නෑන බුද සසු බැබලේ,YES
169,දහම්පාසල ගි නැ එ බණ සෝක ඊ ෂ එ ධර්ම පස්ස ය එ  විකුර් හොද බුදුහාමුදරු කී ද සාසන විනාස කර අ සාසනෙන් බිහිවෙ ඉවර,YES
170,වත්ත සිලරත හාමුදුරු පිරිත අහපන තෙරෙ මෙ ව්කුර් එ නිය පිරිත ද නෙ උන් මේවා සිත නිවෙ අබුද්දස කාල මෙ ගීති ග ස්වර,NO
171,දර්ම සැකවින සො බ සත කුමක් යන් තමන අවබෝ කරගන් බුදුරජාණන්වහන්සේ දේශනාව කි තමන් ඉදිරිපත කරන්නාවුන පිරි දේශයක වෙ නිර්වාන වස තමන් ලාබ ප රයෝජ ත වැඩකරන්නාවුන අදු ගන් පු පුජ ක ර තු නිවනක ඇත්ත සසර දිග කරගන් මගක පම එ නොපමා කුසල නිර්වාන සාක්ශාත කරගනි ම හට අවබෝද මොලයක ඇත්තවුන තෙරුම ගත යුතු දර්ම කුමක් යන් කි,NO
172,ත රිපිටක විකුර් කර නෙවි කොටස අඩ කර පිරිත කිය ඉංග රීසියෙන පල්ලි ගීති ගය විධිය ඉංග රීසිය පරිවර්තන කර සංගීති මුස කර ප රතිම කලා එහෙ පිටින් විකුර් කර අඩ නිරුවත රුප අඹ මේ ම පිරිසක විවේචන කරා දැන විකුර් කර හද ප රතිම නැවත හද කිය ආරංචි ඔබ නොදන් උනා ම හාමුදුරුවන් ngo වැඩපිළිවෙ ම ද 1998 ඉඳ ගලිගමු ghanadipa හාමුදුරුවන් වස දී හාමුදුරුවන් අපවත කරන් හැදු කව් කිය ගලිගමු හාමුදුරුවන් ඇහුවනම දැනගන් තිබු මහාචාර් ඉඳුරාගාර ධර්මරත හාමුදුරු බෞධ ඝාත කල්ලි කිය පොතක ලිය තිය පොත තිය කිරිබත්ගොඩ උන්නාන්සේ කෙරුවා හොයාගෙ කියවන් ම කර බොර අපහාසයක එ පාප දිග පළ ම හොඳ දන් ම බ නැතු චෝදනා කර ම හොඳාකාරව දන් නිස දේවල පර සත ය,NO
173,එහෙ ඉන් මමත පංසල පල්ලි දෙක ය ඉස්සර ඉඳන් කාලයක ම gf වෙ හිටි කතෝලි කෙල්ලෙක නිරායාසයෙන ම කතෝලි පල්ලි ව නිස්කලං ආස වුණ කෙල් ගි පල්ලි වල ම තා ය,NO
