PhraseNo,Phrase,IsHateSpeech
12,paduway hitahan beri weda nokaran bat eka gaththada bole elluwada oka karagena inna oyala desapalanayata atha daruwan therum ganna nikan thiyena prrsiddath nethi karanna epa,YES
13,muth kata arinne anik unta witharai jathiyata agamata sadda na endiyawata koti ganan denawa ahinsakayant ape rate unta mukuth na,YES
14,songs kanna epa buruwo kochchara lassana sindu kanna epa ubalata song karanna barinam nikan edapan thiyana ewa kanna epa,YES
15,muth nanna yanne kridakayanta ground walata wena asadaranakam walata wachanayak eliyata danne nathi aka rata hadanna yanawa mahela karanam api akenma set,YES
16,ai mahinda gen polonnaruve valikande hmbawnaakkara 1800 maddida sanga den unp yen akkara kiyak onida apita ogama danna kaururh nane dun noth apith dannava karan naoni vada,YES
17,ජයසූරි mathakada ow ow sanath ජයසූරි thama eyatath wada kujitha wela yannai sangata wenne,YES
18,ර හදන් ඕන එන්ජීඕ ගැ වලින මිද ගෙදර ව ඉන්,YES
19,dana reddak sinhalen danna kiyanna meka lankawa,YES
20,කියන් වැඩ හොදනම හදවතින් සපෝර්ට පොහොට්ටු samaga නොව u n p nam,YES
21,president wenna puluwan bauddayekuta witharai me yaka croatian,YES
22,ර හදන් කලින මිනිසුන රවට ප රචාර දැන්විම වලින මුදල හම්බ කර එ නව සමාජය සේවයක කරන්,YES
23,ජයසූරියත ආ ර හැදුව හැදුව න න ඌ ලම හැදු,YES
24,අපිටත ඇඩ එක ඉන් පුළුවන වෙ න,YES
25,පොන්නය ර පලන කරනකො ඔහො තම ජිවිත අසාවෙන බල එක ද ක රිකට එකත නැ පොන්නය,YES
26,කාරන විග රහ කරන් ඩුප්ලිකේට මහමෙව්නා ඩුප්ලිකේට කල යාණ මිතුරන් පුලුවන දිව ලෝ promote කර,YES
27,ස්ට රයික කර ඔක්කො ගහන් දෝස්තරලාත ඇතුල,YES
28,aka satha 5k wadi karanna epa okunta wada karanna bai nam job eken elawanna eliye job nathi ewun oni tharam ennawa,YES
29,ගි ආන්ඩු කාල ඔහො නැටු මුන් කොන් ප,YES
30,ඉතිං බං උබ පිස්ස නට ඊ පඩි ග ඕ,YES
31,කල්ලතෝ පකෙක,YES
32,අැත්ත සතුටු එ මනුස්සකම එ වගේ අරාබිය ගිහින්එ අප මුස්ලි කාන්තාවන මු වහගෙ බිල්ල එනකො නෝ සුන්දර විදිය අැවිත ඉන්,YES
33,kisi quality ekak nathi apatayek,YES
34,munta chande dena buruwo innawane thawath me rate,YES
35,කැරිවේසිග පුතා ඉන්නකල රට කෙලවෙ එ අහන්නත දෙයක් බන කාලකන් හැත්ත බල්ල රට ලොක්ක වෙනකො ර බල්ල ය එ අහන්නත දෙයක්,YES
36,thota henagapiya kadaya thilangayawa hurathal karapan esige putha,YES
37,cricket kridawa kawe oi thirisana oi putuwa deehan sangata un dawiwaru yakooo,YES
38,kwda me lat roy kiyana ekaa lat hoodana ekek da,YES
39,ekata ape eka thuuu,YES
40,තොපි නාහෙන අඩ කාලකන් පොන්නය අප සංගීතය අ කණ කො හඩ තියෙ ලැජ්ජ යක ත එකෙක ආ ම ගැහු ඌත ත ව අඩයින දවස,YES
41,dakuna menessuu harema arthmarthakameeeeeeeeeeee,YES
42,sinhalayo kuhakayo,YES
43,2020 ජනාධිප නෙ හුත්ත උබ උබ හොද නගරසභා toilet සුද් කරන් හිකුණ්ඨි සක්කිලි,YES
44,මොන උනත පොලිසි ඉ බල්ලෙ,YES
45,lankawe wage political majarayo innakam police quality eka wadi karanna baha,YES
46,ත ව එකෙක යක වැදගත දෙයක කර ගොන වස්සෙක ඉදකින හුත්ත,YES
47,lanka we inne labba bahapu naki police karayo ne bulath wite kagena ahisaka bike ekak nawath wala ugen rs 500 aragena lami ta ganun ta kanna dena,YES
48,kasippu karayagen ganja karayagen keeyak hari aragena unge bothalayata yata una kisima puhunuwak nathi gon harak tikak ne police office ekak paththata nikamata gihilla blapalla ali wrdi walatath duwana un inne gam walin apu rilau,YES
49,යක ලංකා පොලිසි නිරායුධ මිනිසුන් ගහ එල එල,YES
50,ape polisiya atule tmai wadiyenma horu inne,YES
51,arawa kanno echchari danne policeya gena,YES
52,පොලිස්සි තාමත කැ හැලි තරැ කොල්ලොන් ජීවිතෙන වන්දි ගෙවන් වෙ නා පප්ප බුලත්විටක කාගෙ අඩි දහයක දු ගන් බැරි,YES
53,තුවක් පුහුනු දෙ training එ විතර ඉලක්කයක අරන වෙඩි තියන්  දෙනා දක්ෂ නා පප්ප ගහ පන්නන් ජරා ක ඉන්නන වාල ඉන්නව එ සාමාන මිනිස්ස ඉන් තත්වයකදි විදිය වෙඩි තැබී අනුමත කරන් බැ,YES
54,පාතා කාරයන් මනුස්සකමක නැන මුන බයික වල නගිනකන ඉවසන් තිබුන නැත්තන තත්ව බල stf ගෙනන් තිබුන කොහේ ලොක්ක දෙ අණ න අපරාද වටි ජීවිතයක,YES
55,ගිහින එකෙක්ටවත ආප ලෝ දකින් ඉඩ තියන් මුන් හිර යවන්නනම මර දා,YES
56,මෙහෙමත කුහ මිනිස්ස,YES
57,හොර හොද තුවක්කුවලින වෙඩි තිය පොලිසි අත ව ව ඇවිත හොරුන්ගෙන වෙඩි ක ගුටි ක,YES
58,මෙල රහක නැ උන ඉන් ටවුන එකක,YES
59,මන්නම කිය පොලිසි උන්නැහැ ටිකටත stf පුහුණුවක අවශ හොරා පන් ගන් බැ මොල පාවිච්චි කර හොර කොට කරග නැ ගොන වැඩ ගොඩක තියෙන,YES
60,කත කරෝත මහ ලොකුව අපි දක කෝන්දක තීයන1 කේනේක පොලිසි අයිය උස්සන් උස්ස අයි විතර පිරි යේක කිය,YES
61,මමනං දැක් ඔක්කෝ පිරිම අපි අදි ගවුම වල හෝ නයිටි ටිකක ඇදගන් ලැජ්ජ ම මාතර අය පිරි කියන් දැක් හොද නපුංසක මාතර තම ප්ලීස මංකොල් කාර,YES
62,ඔක්කෝ කෝහෝ වෙඩිතිය මර දාන් පොලිස්ප තුම අයේත මේවැ ද නොවෙන්,YES
63,මව බි නැ මරණ මෙ තේම පාට වි යුත්ත පෝන කෝල වල බ රාජකාරි කර කාල හැරි යුතු,YES
64,ratakata giya kalak vahane dora arinna ekek help kare ne ara manussayata me aparade karapu un tama nidalle rate maha un ponnayo ekai me serama dewal okunat chance denna epa tatwat,YES
65,pathali para haththa akekwath ethuru karanna epa okunge daruwanta edala hena gahanawa para ballo,YES
66,තුවක්කුවක නැත්තං පැත්ත වෙ ඉදපංක විහිං මැරැම්කන්නැති තුවක් තියං ඉන් මංකොල කාරයන් බැටන්පොල්ලෙන ගහන් ගියා මැරැංක එ අහන්නත දෙයක් මේ මහ මෝඩයෙක,YES
67,ashi hashi ඔවා දක එකෙක ඒ කෙලින කියන් සීන කිය මඩ ගහ නැතු,YES
68,ahama kiyana apa natara kiyann apa gama policya wada waradagan tiyana nisai minusu ahka baluwa nikaruna kollo maranawa horu maragann ba bayta akada yahpalan ahinsa amm adanwa ada puta batuwa oya sakilli bollonga oluwata waditiyala danna ona,YES
69,මත්ද රව යවල ඇබ්බැ වෙ මිනිස්ස මර සල්ලි ඔිි පොලිසිය පුහුණුවක නැ වි පුජිත දේසපාලකන් කකුල ලේවක කො නිකන මැරැැ,YES
70,යක හරිහමන තුවක්කුවක දෙන් බැරි බන ඇම අය වාහ වල කෝටි ප රකෝටි ගනන නාස් කර දේ වියදම කර,YES
71,me horu training une koheda,YES
72,thattayaa mokek daa uuu karikii karikii innee pissek wagee udauu karannee nathywaa mona pissek daa mandaa,YES
73,maraladanna thiyenne okunwa mathara un dakune kiyala kehegahuwata bayagullo inne,YES
74,දිවිය මර මිනිස්ස තරම අපරාධ කාර නෙ වෙන් ඇ පොලිස නිලධාරියා මර මිනිමරු එකන තරම දරුණ වච නැත්ත මි මරුවන් එරෙහි,YES
75,oya jatika arakahawa sambanda inna uda pena pena kata meta dodawana amatio dipan polisiata hoda wepan mesinngan arun ottu sellam karanawa maha pare hat denek duwanawa lejjai dipan oya pattama patalema tawa ekekuta palayan paw nodi gedara,YES
76,lankawe inna samahara pirimi napunsakayo ara manussayata wahane dora arala dennawat kenek enne ne mun pirimida ane e manussaya veerayek attatama,YES
77,සෝමාලියාවක ශිට,YES
78,meyata aydayak tibbanam aniwa dennekwath bawanawa aprade,YES
79,පාතාල කිය එකාව මර දාන් ඕ,YES
80,hospital inna ewun tikath wada deela maranda thiyenne,YES
81,ත රිවිධ හමුදාව පොලිසි අසරණ කරන් තහංචි ප හොරුන් නී රී ලිහිල්වු රටක ලංකා,YES
82,කියන් අපි දකුන කිය ව ලැජ්ජ යක,YES
83,ඕකුන්වත පෝලිම තිය මර දා අහිංසකය වු ව,YES
84,shit ara ekek dakalat dakke na wage yanawa,YES
85,waha palane raga tamai oya,YES
86,වෙනස සැප පේනවන මෙි රටෙි නිති බල්ල ගිහින,YES
87,ලංකා hema tanama oya wage tamai r d a නිලධාරීන owa දකි nati එ කනගාටුදාය අපෙන ගහ සල්ලිවලින කර අපරාධ henaghanawa munta tu,YES
88,ape peththeth oya wede mai කර මහින් මහත්ත නැතික දැනෙ hitiyanam අපිත ගොඩ,YES
89,දැන බැ බැ මේ පෝස්ට දැම්ම මේ පිලිවෙල මහින්ද කාල සිද්ධ උ ඒවා අසංවේද උ මෝඩ උද්ධච්ඡ මිනිස්සුන් ඡන් ව පිහිටෙන ලැබු වෙනස තියෙන්,YES
90,තුවා වල බේත දා කියන් දුක සිංහ ජාති කාළකණ් ජාතියක පත ව හමාර,YES
91,mewata loku baladarin waga kiyanna ona mun okkoma ekai mahajana mudal nasthi karana kalakanni balu heththa,YES
92,ඇත්ත කියනවනම ලංකා කාලකන් රටක,YES
93,කාලකන් හැතිකර අප සල්ලි වලින ලබ ක මෙි රජ අයත වල හ හගන් ඔ,YES
94,akke aewa loku unge weradi,YES
95,mun wage kalakanni innakan ratawal diunukarana be,YES
96,මුන ඔක්කො ර ක අප බද ගන් සල්ලි,YES
97,උඹ හොට පෙරං අඬ හෙල කෙල්ලොං videosui ලබ්බවල වල කර වැඩේනම great බං,YES
98,api thathala nathuwa duk wenwa me kalaknni thaththala idala salakanne,YES
99,මොනතරම ගින්දරක ප ඇතුල පත්ත වෙ අැද් තාත්ත අත ප උස්මහත කර තාත්ත දෙයියන ශාප වෙ උඹල ආත්මෙ,YES
100,thopi wage lamainta me athmedi hena wadina ona,YES
101,උ අප්ප නීතියක්න යක එ රං බන්ඩාර පුත 3 පාරක වාහන හප්ප එ මිනිහෙක මර පවුලක අබ්බගාතය ක නිති මෙපාර ගෙයක කුඩ කර හොද බී වාහන ඇතුල කඩ පොල තියෙද්දිත යක ඌ ඇප දෙ,YES
102,ngo වලින් ලංකා නිති ක්රියාත්ම කර නොදකිං කලකිරෙ මෙ දැක්ක මොන ම අප රට වෙ,YES
103,henama gahapiya okita ngo karayanta puka dipan thawath wesi tho marunu data pansukule denneth අප හාමුදුරු mthaka thiya ganin thota sapa wenawa shinhalaya gana ktha krapu අප හාමුදුරුවන් මෙහෙ කරා,YES
104,mewata katha karanna wachana ne hithe wairaya athi karanawata wada wadath hidama de munta swabadahama thulin lebena දඬුව diha nihathamaniwa balasitimai sandya kiyana wesa genita hidata ninda yanawa athi den,YES
105,gon genita saapa me athmedima palisan දේ හාමුදුරු namak hireta yeuwata,YES
106,hamudurowo kiwe aththak ube miniha kotiyek ltte eken salli gaththa oththu karayek apith 2020 passe me kalakanni anduwa gedara yawala sahimakata path wenawa,YES
107,oyage thawakalika sathuta uparima winda ganna okata windawanna weddi daraganna bari wei,YES
108,ගොං හුත්ත හැමිනියන වෙස තො සාප වේ බැල්ලී,YES
109,කියන් දුක අප රට ලො තැන්ව උන පිරිහි ඉවර බලය ධනය ආග ජාති විකුණ උන ද නැ උන් වෙ මොකක් කිය මෙව වගකිවයුත ව පෙල ඉන් උන අප ආග ජාති විනාස කර සක්කිලින් කන් ගූත නැතිවෙන කාලකන්,YES
110,බැල්ලි කොටින් ග කනකො අපහසුවක දැනුන දන ඔ මිනිහ මැරුන දැනු දු දහස ගුනය දුකක දැනෙ ඉස්සරහ උපසම්පදා තිය භික්සුවක හිර යැවුව ඔ වැඩියෙන් ආදර කෙනෙක ඔ නැ වෙ වැඩි කල නොගිහින,YES
111,cari wesi me cari wesige puke arinna one miriskudu daala balu wesita katu kohila alayak bessuwanam kakul 2ka depeththata karala huththa athulata me huththita mita wada sathutak lebei,YES
112,අප හමුදා බර අවි කෙමිකල මිසයි පාවිච්චි කර සමූලඝාත සිදුක කිය හුත්ති මිනිහ කිව් ඒක හුත්තිත කිය එහෙ එ කැරි වේසි දඩුවම දෙ එකෙක බල්ලන් අල්ල කැරි වේසි හමගහන් ඕ පනපිටින,YES
113,tho ganu jatiyatama nindawak lake wadi dawasak yamaha thota sapa wenawamai,YES
114,මෙිි හුත්ති සතුටුයිල අප රටහරක්ටිකටත සතුටුඇ අප හාමුදුරැන  දුන් දඩුවම දුක ඊටත්වැඩි මරාග මැරෙන් හිතෙ අපෙහාමුදුරැවන් ජමිිබරෙ අන්දපුඑ යක,YES
115,සංඝ වහන්ස නම විශේෂයෙන බුද්ධ චිවරය අගෞර ක පාපය නුඹ මත මතුත සාප වෙි,YES
116,meki lankawe janadi pathinitakda budu dahama winasa karana hethiriyak ne,YES
117,podi daruwo dusanaya karala maranawa ewata mokuth na ane pau apahasa neme karanna thibbe kumarihamita bella mirikala maranna,YES
118,tigae miha marapuuna hiyanna amruwak na katin kiyapu wacanata uda painawa ubda kada hari dittadamna wadaniya karumae padisan danawamai budu ciwarayanata nigaru kirimata,YES
119,oita wada hinsa appa rata wanawa podi daruwo antha karanawa apra karayo koha baluwah ma gani matharamma sundara wasthuwakda balla giya ratak apa buddha cjiwaraya gana harima dukai,YES
120,to wage balu wesiyek wadapu toge ammage to wadapu tenatath henagahannaona,YES
121,kanthawakata hirihara kireema waradei habai me wage kotiyekuge geniyekuta banna newei maruwath pau na,YES
122,ape ratata mokadda me wenne mun alawanna hadamu mahindata rata barademu okkoma akathuwemu me sinhalayage rata,YES
123,කැරි වේසි හෙනගහ,YES
124,thambiyelta kiyala hukaganna kiyahan keri wesita,YES
125,ගැ රටේන එලවන් ඔ නොදකින ශාපවේ,YES
126,okege sathuta as panapitama padesan denna one,YES
127,අප අම පාලකයොන් වැරදි,YES
128,ගොන වේස මිනිහ ගි තැන යන් දගල,YES
129,ප වේසි යන් ලෝකෙන් තොලොන්චි වෙ හැප් වාහනේ මැරෙන්න බැල්ලි,YES
130,මුස්ලිම රට ආගමි නායකය ම ද කලානම රාජ ගෙෘර ජනතාව දෙවි,YES
131,හෙ හත ගහපන,YES
132,ක දේ තෝන විඳව මැරෙන් තො හෙ හත වැදියන,YES
133,patta wesi tota henama gahapan totai toge anduwatai lagadima redi netuwa pare duwanna wei edata toge hinsanayata api gal gahanawa,YES
134,හෙ ගහ කැරි වෙසි,YES
135,අපරා කාර ර පාව දෙ උන රකි සක්ක ආන්ඩු,YES
136,සාප ති හෙ හත වැදියන,YES
137,tho sathutu unaawagema duk wendath wenawa,YES
138,hotai thindu karapu ekatai me rajayatai henama gahapiya,YES
139,kotinge ata deka suppu karapan gihin cari wesi me wesitanm hodak sidda wenne nehe hena gahapan,YES
140,පට් බැල්ලි බල්ල දම්ම හුකන් ඉන,YES
141,huththa lokuda danne neeee,YES
142,usawiyeth desapalana theendu,YES
143,balu huttita hana hatama gahapiya,YES
144,hitan magenguti kanna nethiwa oya unansewa nidahas karapan hodaekaawage,YES
145,ජම්පර ගස්සන්ඩ ඕන ආ චීවර නොදාන්න,YES
146,karumeta gahala akalata haduna wesiyo,YES
147,ltte එ කඩ ය ngo සල්ලි වල ර පා දෙ හැත්ත,YES
148,මෙි ගැනි සාප වෙි,YES
149,hora ganayonta kade yana gonnu inna ratak meka,YES
150,me genige geta gal gahanna lasthiweyalla,YES
151,පනපිටින අපා ප කොටිදෙ,YES
152,puka diyan noel mona paiye sinduda hutto me සමාජෙ හො දෙයක කරපන,YES
153,mun rata winasa karalla ewarayi,YES
154,ponna wasi,YES
155,aknali goda maruna aka gana api sathutu wenawa,YES
156,කොටි දෙනක,YES
157,wesa genita hena gahapiya rate nayakaya ponnayek unama ohoma tamai,YES
158,හම්පඩ පඩංග දෙමළ වේසාවි,YES
159,ako ratama ltte eke salli walata wikka munta ira hada payanawaneeee,YES
160,nadukarayage mulu engema gedidapn okage paaulama hedigeviyan,YES
161,koti gani shapa wewa ubata,YES
162,එහෙම ආස කැර wecii,YES
163,makabawilama pala paduru wesi,YES
164,බල වෙසි තො අම්ම බල්ලොත ලැග තො ජාත කර තියෙ,YES
165,meeka pada show ekak,YES
166,thota hena gahapan thoge balu patawuntath balu weesi,YES
167,henama gahapiya wesa ballita,YES
168,tope anduwa tiyana an hodai,YES
169,mekita dan miniha nathuwa aduwak wena ekak ne,YES
170,sathutu nam puka deepan wesa baduwa,YES
171,me genige jathae kalwam ekak,YES
172,yadamin benda vilangu la mage putha regena yanna idikatu weni engili thala dethis wadaya pamunuwanna aluth lowak gena sithima danduwam dena warada nam kumata erata adhikaranaya neethiya saha vinisuran,YES
173,bona unta bus eke megala gihin bol gahanna thamai tiyenne,YES
174,තෙවරප්පෙරැම අහුඋනොත ඔක්කො ගුටි ක යක,YES
175,ලංකාවෙි මිනිස්සුන් මොනතර හො කලත වැඩක නැ අය ආකල්ප වෙනස්කරන් බැ මෙි කමෙන්ටි වලින ඒද වැටහෙ මෝඩ මිනිස්ස බහුතරයක,YES
176,ponnayo danne kellek aduwa gaman laga inna kollekta allan gahanna witharai,YES
177,ape harak samjeta eka honda adrshyak,YES
178,පොලීසි ගොං ආතල දෙ පූජිත උබ තියෙ වැඩ මේව,YES
179,tpita pisuda yako man htuwe atta kiyala aiyo,YES
180,kimbak eduwoth ape untath amma thaththawath penne n,YES
181,lisan nathawa yanna puluwan yako api dannawa oka veede nattiyak kiyala,YES
182,යුද්ධ සැබෑ අවසාන වෙන් මේක දැන්වත කඩප්පුලි විග්නේෂ්වරන සිවාජිලිංගම සම්බන්ධන සුමන්තිරන කාළක් දේශපාලකයින දේශපාලනයෙන අතුග දැමි යුතු,YES
183,පාර්ලිමේන්තු ඉන් කක්කූසි කට දත දොස්තර කා කන් රාජිත මතක වෙනකො ම මාළ නට,YES
184,අප නානසාර ස්වාමීන වහන්ස හිමියන පුළුවන සෙබළුන්ගෙන ආදර්ශ එහෙ ලබාගන් බුදුන්ගෙන ආදර්ශ ලබාගත්ත නැතිකො මොකෙක්ගෙන්වත ආදර්ශ ගනී,YES
185,samanya minasata danena de me kalakanni desapalakayanta penne nathi eka thama karume,YES
186,ලංකා ත හරක ඉන් ඕ හොඳ පිළිගන්,YES
187,අප හරකුන් ගහක හිටවන් ගියත කුඩයක අල්ලන් ඔන බහින් වලකුත හාර දෙන් ඔන අපි පව න,YES
188,දැන කාලෙ කලින පාලත සභ මන්ත ර ජුන්ඩේක පොලිස මහතෙක හැදුලුම පත ඉල්ලූ කිය දා ගෙම්බර මතක වු,YES
189,shampoo එකක promote කරන් දා ලස්ස මුට්ටියක කියල මටනම හිතෙ බලපං කිය ත දවසකින,YES
190,ඒ හොද දාගෙ ය පාර,NO
191,dakune shampoo nadda,NO
192,ම ජයරත්න නෑදෑයෙක් කොහෙ,NO
193,වැස්සොත ශොට වෙ මැරෙ,NO
194,muladi hinawey digatama karoth devole karala hoda idea ekak,NO
195,hadannanam puluvan eth oka reddak adan dagena yanne kohomai ape handuruvane,NO
196,police yen navatthana ekkak na,NO
197,mathakane kalayak ape un fite fan ellan gihin rexona market kala,NO
198,pahadili madi visthara karapu hati,NO
199,me mokkakda bn eka dapuwahama mahasona wagene,YES
200,ඇඩ ඇඩ ලංකා දියු කිය වුන  කන ගහ මෙ පෙන්න,YES
201,ela ela thawa thawath mede wadidinu karanna,NO
202,game gahapan aiya api gannaw,NO
203,මේ දියුණුවක කිය හිත උබ වැරදි සහෝදර,NO
204,ගෙදර වෙ පාඩම කරපල්ලක පැ ගනන පෝලී ඉ,YES
205,lankawen desapalakayo tikak yawala balamu poster gahana widihata thama ita passe,YES
206,අමාරුවෙන පුටුවක අල්ලගන් ඕනි ගහක වාඩිවෙ පාඩම කරන් පුළුවන,NO
207,comments බලන් ආ අ මෙතනින පොඩි like එකක ඕන bro,NO
208,විඩී එ අප්සට පේ,NO
209,paadam karanawa kese wethath putuwak nan aniwa allagannawa mama puluwannan putu tikak allala business line ekakuth gahagannawa shape eke,NO
210,යක්කුන් ලජ්ජ කරන් මුන් සමානකර,YES
211,ඒකෙන මේකෙන උන ගීත නමටහරි හිටි මිනිහ නැතිවු එ විතර,NO
212,මුන ගෙන ඇ වැඩක නැ උනා ඉඩ හිට වැදගත දෙවලුත නොකිය ව නෙවෙ,YES
213,e karpu kathwa nm wedagth m kiuwath oyala,NO
214,oshadhi adui hama gahapu issek wage,YES
215,බයිසන්ල සුරංගනාවියන,YES
216,මී කලින දැකලැ නැ,NO
217,මටනම හිතෙ මිනිහ ඇත්ත ඩයල එ කිය,NO
218,දුප්පත මිනිසුන සියගනන පැල්පතක තනාදෙන් තීබ අපුරු,NO
219,oka light bala bala cheeneta naya gewamu,YES
220,පි ඇනුම ගුටි කෙලි ඇතුල විනෝ ක රීඩ රැසකුත ඇ නෙහ,YES
221,කෑමකඩත තියෙනව tomorrowland වගේ festival එ hardwell mashmellow එනව edm කරන්,NO
222,මෙ ගෑ දන් එකෙක කියපන දන් එකෙක කන්ටැක කර ගන් ඔන,NO
223,ඊළඟ මේව සාමාන මිනිස්සුන් යන් බැරි විදිහ ගණන වැඩි විශේෂ ටිකට එකක නිකුත කරන් ඕන,NO
224,දවස අන්ති යාඩ එ ගෙන නැවැත්තුවා ආරක්ෂාවත වැඩි කරන් වෙ රෑ ෆෑන පන්න අයත ඉන් පුළුවන න,NO
225,මේ ඇතු සතිය දෙසැරයක පිරිසිද කරන් ඕන විශේෂයෙන් ටොයිලට මසෙ දෙසැරයක ක්ලීන කරන් ඕන එහෙ කලොත අවුරුද 5ක ලස්සන තියාගතහැ,NO
226,ලංකාව ඕ හරිය බන අපි සුපෝකබෝග දේවල විදින් කලින අප මනස හුරුකරගන් උන්ටත ඒ විදින් ඉතුරුකර යන් අපි සිංහලන සිංහයන්ගෙන්ලුන පැවතගෙ එ අපි ප රෙන අපි වනන්තර ඒ ගෙනත දෙන් ඒවනම යන ම දැක තියනවන අලුතින් ගෙනා කෝච්චි වල අප ඔපිස ය සෙට ට රිප ය සෙට සිගි පාතා කාරය කර වැඩ බොකක ලෝඩ්වෙ කෝච්චි ටොයිලට එ ගියොත පුදු හාස්කමක වෙ බො නැතිවෙන බො කටින යන් එන,YES
227,ඒකටනම දුම රි දෙපාර්තුමේන්තුවත වගකියන් කෝච්චි රෑ අවසා ට රිප එ ගිහින ආවහ නඩත්තුවක නැතු ආප පහුවද උදේ එන්ජි පැත්ත අමුන ඇදගෙ එන මටනම පේ ඒ වරදක කියන්නත බං maintenance කරන් සේවකය ගන් උන් පඩියක ගෙවන් ඒ කොරන් කොහෙඩ රට සල්ලි රටින ගන් ණ අදාර ඔක්කො ගිහිනුත මදි පාර්ලිමේන්තු නඩත්ත කරන් ම තේරෙ කත කර වැඩක කෝච්චි යන් ට කරන් ප රෙන තෙප්පමක හදාගෙ කමක ජීවත වෙන් පුලුවන රට පලයල්,NO
228,comment ව තියෙ අදහස facebook එ ඇතුලේ පල නොකර ස්ටේෂන වල දුම්රි මැදිරි ඇතුලෙ මිනිස්සුන් දැනෙ විදිහ display කළ භාෂ 3න් පින්තූරත පොඩි වෙනසක දකින් පුළුවන,NO
229,පොට ටික මාසයකින අරන බලන් සීට ටික එන්ජිම විතර ඉතුර ඔක්කො ගලව සත්ත අප එඋන,NO
230,සාමාන මිනිස්සුන්ගෙන පරිස්සම කරගන් පුලුවන කෝච්චි ව ය ඔෆිස සෙට එ කිය අමුතු සත්ත ජාතියක උන ක ද එකෙ දා හොර ගෑ එකත වෙ සීට හුර ගොඩක් කෝච්චි විනස කර අහිගුන්ටක,YES
231,විනයක නැ පිරහෙමින තිබෙ ජාති බද මුදල වලින ගන් මේ කොපම කල රැකගනීවි මන්ද මිනිසුන පොද දේප රැකගනිව බලි කුරුට ග අපවිත ර නොකරව,YES
232,ෂීට කඩ ජර කර එකෙක දැක්කොත පොන්න බලන ඉන්නැතු අත පුරෝ ක පැලෙන් ගහපන උන්ටත පෙන්,YES
233,මගිජනතා ව දුමිරි දෙපාර්තමේන්ත සේවකයන තුත මෙ රැකගන් කටයුත කලයුතු ගමන වාරයක අවස දුමිරි මැදිරි හොදින පිරිසිද කර අඩුපාඩ සැකසි යුතුයිි දැන බලන් රැහු කුමාරි ගාලුකුමාරි ෆැන වැඩ නැ මකුනුදැල බැදි හුඩි එ දුවිලිවලින පිරි මෙ රැකගන් දෙගොල් දාය වියයුතුම,NO
234,dubai wala thiyana awaga kama kana ak thahanam aduma tharama chuingam wath kanda ba aka hama thama camara thiyanawa lagatama avith dada gahanakn danna na apa minissu wanas karanda amarui akata hodama da hariyata nithi hadanda ona owata athokota nikamma purudu wanawa,NO
235,අප එවුන් ලියන් සිට ඉරන් කඩ කන් බඩ ඉරුග කන් එ කා එ ද යන් ට ර්ප ගිහි බො කර එන් ආ අලුත භාන්ඩ දැන කියන් අප ඉංදියන ජාරා කිය ඉස්ස පුරුද වේය කඩ ගොට කු ම ජාරා මානසි ලෙඩ්ඩ ලිය එ නවත්තන් හොය ඇ කු,YES
236,කොච්චි අගුලා කොරලවෙල් මොරටු එ දුම්රි ස්තා ව නවත්තන් කොච්චි තිය සෙප පහසුකම මාසයක යනකො එ පෙත්ත ගෙවල ව තියෙ,NO
